gene	pct.1	pct.2	enrich.ratio	avg_logFC	gene.score	p_val_adj
TMEM196	0.06	0.12	0.5	-0.05093	-0.02546	0
IQGAP1	0.062	0.116	0.53448	-0.04764	-0.02546	0
DUBR	0.079	0.147	0.53741	-0.04744	-0.0255	0
GPALPP1	0.079	0.134	0.58955	-0.04331	-0.02553	0
RAB3GAP2	0.075	0.146	0.5137	-0.04975	-0.02555	0
PDAP1	0.287	0.439	0.65376	-0.03923	-0.02565	0
KALRN	0.17	0.279	0.60932	-0.0421	-0.02565	0
C14orf37	0.176	0.277	0.63538	-0.04057	-0.02577	0
RAB8A	0.105	0.204	0.51471	-0.05009	-0.02578	0
TMEM206	0.054	0.108	0.5	-0.05176	-0.02588	0
NUFIP2	0.099	0.187	0.52941	-0.0489	-0.02589	0
SETD2	0.21	0.338	0.6213	-0.04168	-0.0259	0
DCLK1	0.133	0.234	0.56838	-0.04556	-0.0259	0
LARP6	0.047	0.11	0.42727	-0.06062	-0.0259	0
FAM168B	0.067	0.125	0.536	-0.04835	-0.02592	0
ZSCAN2	0.053	0.109	0.48624	-0.05334	-0.02594	0
DYRK2	0.083	0.159	0.52201	-0.04971	-0.02595	0
ATP9A	0.101	0.181	0.55801	-0.0465	-0.02595	0
C1orf27	0.079	0.149	0.5302	-0.04899	-0.02597	0
C1GALT1	0.078	0.137	0.56934	-0.04565	-0.02599	0
ALYREF	0.014	0.12	0.11667	-0.22295	-0.02601	0
DNTTIP2	0.236	0.371	0.63612	-0.04089	-0.02601	0
MLLT1	0.051	0.109	0.46789	-0.05559	-0.02601	0
SEMA4C	0.054	0.101	0.53465	-0.04865	-0.02601	0
DIP2B	0.068	0.131	0.51908	-0.05017	-0.02604	0
PHF12	0.06	0.113	0.53097	-0.04904	-0.02604	0
PRPSAP2	0.181	0.297	0.60943	-0.04275	-0.02605	0
JADE1	0.11	0.19	0.57895	-0.04502	-0.02606	0
MBD4	0.085	0.15	0.56667	-0.04598	-0.02606	0
RCOR3	0.089	0.161	0.5528	-0.04728	-0.02614	0
SLCO5A1	0.066	0.125	0.528	-0.04952	-0.02615	0
AP1G1	0.08	0.163	0.4908	-0.05342	-0.02622	0
CIC	0.04	0.105	0.38095	-0.06886	-0.02623	0
BUD31	0.294	0.463	0.63499	-0.04132	-0.02624	0
TANC2	0.101	0.194	0.52062	-0.05049	-0.02629	0
ZFAND3	0.081	0.143	0.56643	-0.04647	-0.02632	0
DENND5B	0.105	0.19	0.55263	-0.04774	-0.02638	0
SLIRP	0.264	0.426	0.61972	-0.04259	-0.02639	0
KANSL1L	0.051	0.104	0.49038	-0.05388	-0.02642	0
IGF1R	0.148	0.256	0.57812	-0.04574	-0.02644	0
EHMT2	0.145	0.253	0.57312	-0.04615	-0.02645	0
PTK2	0.101	0.176	0.57386	-0.04613	-0.02647	0
NUDT16L1	0.068	0.132	0.51515	-0.0514	-0.02648	0
ZNF205	0.079	0.148	0.53378	-0.04965	-0.0265	0
CEP85L	0.117	0.204	0.57353	-0.04623	-0.02652	0
ZNF197	0.065	0.123	0.52846	-0.05023	-0.02655	0
ELF2	0.184	0.301	0.6113	-0.04345	-0.02656	0
ICT1	0.069	0.133	0.5188	-0.0512	-0.02656	0
RAB2B	0.061	0.116	0.52586	-0.05054	-0.02658	0
DHRSX	0.072	0.145	0.49655	-0.05363	-0.02663	0
CREB5	0.065	0.115	0.56522	-0.04712	-0.02663	0
ZNF254	0.135	0.239	0.56485	-0.0472	-0.02666	0
SSNA1	0.109	0.208	0.52404	-0.05098	-0.02672	0
TBC1D23	0.079	0.128	0.61719	-0.04332	-0.02674	2e-5
POLR2J	0.156	0.273	0.57143	-0.04682	-0.02675	0
RNF8	0.124	0.215	0.57674	-0.04645	-0.02679	0
PRPF4	0.066	0.133	0.49624	-0.05398	-0.02679	0
ITGAE	0.088	0.163	0.53988	-0.04963	-0.0268	0
C10orf35	0.106	0.195	0.54359	-0.04935	-0.02683	0
ATG12	0.172	0.279	0.61649	-0.04361	-0.02688	0
MAPK1	0.04	0.101	0.39604	-0.06791	-0.02689	0
RFK	0.073	0.134	0.54478	-0.04942	-0.02692	0
VCP	0.232	0.356	0.65169	-0.04134	-0.02694	0
TMEM108	0.07	0.117	0.59829	-0.04509	-0.02697	1e-5
RRM1	0.082	0.153	0.53595	-0.05042	-0.02702	0
RAD18	0.05	0.104	0.48077	-0.05624	-0.02704	0
DNAJC19	0.158	0.248	0.6371	-0.04246	-0.02705	0
PPP2R1B	0.077	0.134	0.57463	-0.04707	-0.02705	0
ACTR2	0.143	0.245	0.58367	-0.04636	-0.02706	0
RPS6KA5	0.122	0.212	0.57547	-0.04716	-0.02714	0
PTK7	0.072	0.122	0.59016	-0.04601	-0.02715	0
THAP11	0.048	0.104	0.46154	-0.05887	-0.02717	0
PRTFDC1	0.078	0.133	0.58647	-0.04633	-0.02717	0
DLG5	0.062	0.13	0.47692	-0.057	-0.02719	0
C16orf72	0.089	0.174	0.51149	-0.05321	-0.02721	0
TARS	0.072	0.141	0.51064	-0.05329	-0.02721	0
BPTF	0.46	0.659	0.69803	-0.03899	-0.02722	0
KIAA1328	0.055	0.114	0.48246	-0.05646	-0.02724	0
WDR20	0.103	0.202	0.5099	-0.05343	-0.02725	0
SETMAR	0.059	0.116	0.50862	-0.05359	-0.02726	0
NAT14	0.039	0.117	0.33333	-0.08185	-0.02728	0
SGTB	0.069	0.15	0.46	-0.0593	-0.02728	0
MGAT4B	0.015	0.101	0.14851	-0.18378	-0.02729	0
MORC3	0.187	0.313	0.59744	-0.04577	-0.02734	0
AC159540.1	0.078	0.143	0.54545	-0.05013	-0.02734	0
SPOP	0.206	0.353	0.58357	-0.04686	-0.02735	0
ANKIB1	0.112	0.204	0.54902	-0.04983	-0.02736	0
MTMR9	0.098	0.186	0.52688	-0.05199	-0.02739	0
C19orf25	0.114	0.203	0.56158	-0.0488	-0.0274	0
JPH4	0.048	0.114	0.42105	-0.06511	-0.02741	0
ARIH2	0.134	0.239	0.56067	-0.04891	-0.02742	0
ZRSR2	0.044	0.101	0.43564	-0.06294	-0.02742	0
ZNF184	0.079	0.142	0.55634	-0.04928	-0.02742	0
ZNF787	0.017	0.106	0.16038	-0.17157	-0.02752	0
HSD17B12	0.084	0.155	0.54194	-0.05081	-0.02753	0
SYF2	0.448	0.63	0.71111	-0.03874	-0.02755	0
DDHD2	0.057	0.109	0.52294	-0.05275	-0.02758	0
TSC1	0.068	0.127	0.53543	-0.05153	-0.02759	0
CTBP1	0.07	0.124	0.56452	-0.049	-0.02766	0
RPL7L1	0.396	0.578	0.68512	-0.04053	-0.02777	0
MAPKAPK5	0.066	0.126	0.52381	-0.05304	-0.02778	0
HSPA9	0.214	0.328	0.65244	-0.04262	-0.02781	0
PTBP1	0.071	0.152	0.46711	-0.05956	-0.02782	0
ATAD2B	0.088	0.156	0.5641	-0.04934	-0.02783	0
EIF2B4	0.083	0.153	0.54248	-0.05147	-0.02792	0
SEC11A	0.228	0.365	0.62466	-0.04475	-0.02795	0
SESN3	0.091	0.158	0.57595	-0.04858	-0.02798	0
SRGAP2	0.076	0.146	0.52055	-0.05377	-0.02799	0
VDAC1	0.236	0.361	0.65374	-0.043	-0.02811	0
TSPYL4	0.2	0.309	0.64725	-0.04351	-0.02816	0
EPC1	0.491	0.677	0.72526	-0.03882	-0.02816	0
ZNF34	0.051	0.119	0.42857	-0.06573	-0.02817	0
INTS6	0.057	0.107	0.53271	-0.05288	-0.02817	0
TCEAL7	0.315	0.457	0.68928	-0.04088	-0.02818	0
IST1	0.115	0.222	0.51802	-0.05447	-0.02822	0
CEP95	0.158	0.277	0.5704	-0.04952	-0.02825	0
IFT88	0.071	0.132	0.53788	-0.05251	-0.02825	0
RAD17	0.08	0.156	0.51282	-0.05513	-0.02827	0
TXNDC17	0.157	0.27	0.58148	-0.04869	-0.02831	0
FBXL15	0.063	0.136	0.46324	-0.06112	-0.02832	0
FYTTD1	0.142	0.247	0.5749	-0.04928	-0.02833	0
ZFP91	0.047	0.111	0.42342	-0.0669	-0.02833	0
PCMTD1	0.214	0.32	0.66875	-0.04236	-0.02833	0
ORAI2	0.039	0.108	0.36111	-0.07855	-0.02837	0
CHD6	0.244	0.412	0.59223	-0.04792	-0.02838	0
UBE2G2	0.107	0.199	0.53769	-0.05282	-0.0284	0
BNIP3	0.141	0.264	0.53409	-0.05321	-0.02842	0
ACBD5	0.042	0.105	0.4	-0.07106	-0.02842	0
KLF7	0.206	0.338	0.60947	-0.0467	-0.02846	0
ZNF445	0.112	0.206	0.54369	-0.05235	-0.02846	0
SLC25A38	0.048	0.102	0.47059	-0.0605	-0.02847	0
ZSCAN16-AS1	0.079	0.145	0.54483	-0.05225	-0.02847	0
C1orf21	0.136	0.234	0.5812	-0.04903	-0.02849	0
MUS81	0.063	0.132	0.47727	-0.05969	-0.02849	0
NOL9	0.048	0.109	0.44037	-0.06469	-0.02849	0
C3orf17	0.063	0.112	0.5625	-0.05067	-0.0285	0
RBM12B	0.065	0.118	0.55085	-0.05177	-0.02851	0
TMEM115	0.047	0.108	0.43519	-0.06554	-0.02852	0
AGTPBP1	0.064	0.139	0.46043	-0.06198	-0.02854	0
MRPL52	0.149	0.258	0.57752	-0.04943	-0.02855	0
HAUS3	0.05	0.106	0.4717	-0.06052	-0.02855	0
UFSP2	0.079	0.161	0.49068	-0.05821	-0.02856	0
ZFPM1	0.014	0.151	0.09272	-0.30819	-0.02857	0
TBL1XR1	0.185	0.325	0.56923	-0.05024	-0.0286	0
MIA3	0.16	0.269	0.5948	-0.04817	-0.02865	0
SMAD5	0.096	0.175	0.54857	-0.05223	-0.02865	0
IRGQ	0.068	0.132	0.51515	-0.05562	-0.02865	0
FCHO2	0.055	0.123	0.44715	-0.06412	-0.02867	0
BMS1	0.115	0.21	0.54762	-0.05238	-0.02868	0
CBX5	0.26	0.422	0.61611	-0.04657	-0.02869	0
SYAP1	0.101	0.194	0.52062	-0.05518	-0.02873	0
RAPGEF2	0.071	0.131	0.54198	-0.05302	-0.02874	0
ZNF682	0.054	0.121	0.44628	-0.06443	-0.02875	0
KIAA1586	0.184	0.294	0.62585	-0.04599	-0.02878	0
FAAP20	0.124	0.221	0.56109	-0.05132	-0.0288	0
NOM1	0.047	0.104	0.45192	-0.06382	-0.02884	0
COL6A1	0.066	0.137	0.48175	-0.0599	-0.02886	0
DPM3	0.058	0.124	0.46774	-0.06188	-0.02894	0
SLC25A4	0.229	0.364	0.62912	-0.04601	-0.02895	0
ZBTB10	0.095	0.161	0.59006	-0.04907	-0.02895	0
ERP29	0.296	0.475	0.62316	-0.04647	-0.02896	0
CHMP6	0.049	0.101	0.48515	-0.05973	-0.02898	0
ARMC1	0.18	0.3	0.6	-0.04833	-0.029	0
MRPL11	0.109	0.204	0.53431	-0.0543	-0.02901	0
EPB41L5	0.071	0.125	0.568	-0.0511	-0.02903	0
SBNO1	0.197	0.321	0.61371	-0.04742	-0.0291	0
FBXO9	0.086	0.147	0.58503	-0.04977	-0.02911	0
ACAT2	0.165	0.274	0.60219	-0.04838	-0.02913	0
PTRH2	0.038	0.103	0.36893	-0.07921	-0.02922	0
WWC1	0.048	0.104	0.46154	-0.06335	-0.02924	0
PPP2R3B	0.017	0.104	0.16346	-0.17901	-0.02926	0
GTF2F2	0.117	0.193	0.60622	-0.04827	-0.02926	0
TMEM106B	0.106	0.199	0.53266	-0.05496	-0.02928	0
CHORDC1	0.117	0.213	0.5493	-0.05335	-0.02931	0
ATP2A2	0.063	0.125	0.504	-0.05816	-0.02931	0
TATDN3	0.058	0.116	0.5	-0.05868	-0.02934	0
MPHOSPH9	0.082	0.135	0.60741	-0.04833	-0.02936	0
REEP1	0.076	0.15	0.50667	-0.05799	-0.02938	0
PIGBOS1	0.071	0.146	0.4863	-0.0605	-0.02942	0
BACH1	0.086	0.167	0.51497	-0.05714	-0.02943	0
HSD11B1L	0.061	0.118	0.51695	-0.05707	-0.0295	0
MESDC2	0.131	0.231	0.5671	-0.05216	-0.02958	0
NOA1	0.089	0.163	0.54601	-0.05417	-0.02958	0
LINC00657	0.185	0.327	0.56575	-0.05231	-0.02959	0
PTPRN2	0.056	0.122	0.45902	-0.06446	-0.02959	0
ZNF117	0.084	0.172	0.48837	-0.06061	-0.0296	0
ELAVL3	0.52	0.71	0.73239	-0.04049	-0.02965	0
DUSP12	0.137	0.232	0.59052	-0.05028	-0.02969	0
ARL10	0.07	0.124	0.56452	-0.05265	-0.02972	0
DPYSL4	0.182	0.312	0.58333	-0.05097	-0.02973	0
RRP1	0.074	0.129	0.57364	-0.05182	-0.02973	0
DCUN1D4	0.07	0.125	0.56	-0.05314	-0.029760000000000002	0
DNER	0.063	0.118	0.5339	-0.05583	-0.02981	0
ATP5J2	0.39	0.569	0.68541	-0.0436	-0.02988	0
C12orf45	0.071	0.14	0.50714	-0.05894	-0.02989	0
PRELID3A	0.051	0.111	0.45946	-0.06508	-0.0299	0
SP4	0.064	0.127	0.50394	-0.05939	-0.02993	0
RP11-83A24.2	0.115	0.189	0.60847	-0.0492	-0.02993	0
NDUFA10	0.196	0.313	0.6262	-0.04781	-0.02994	0
C16orf87	0.139	0.263	0.52852	-0.05666	-0.02995	0
MRPS5	0.178	0.304	0.58553	-0.05117	-0.02996	0
RASA4	0.099	0.169	0.5858	-0.05117	-0.02997	0
SEPW1	0.374	0.574	0.65157	-0.04613	-0.03005	0
LPIN2	0.038	0.105	0.3619	-0.08329	-0.03014	0
FNDC4	0.046	0.128	0.35938	-0.08389	-0.03015	0
NAA10	0.113	0.199	0.56784	-0.05316	-0.03018	0
COG8	0.048	0.107	0.4486	-0.06727	-0.03018	0
ITGB8	0.07	0.132	0.5303	-0.05692	-0.03019	0
TRNAU1AP	0.116	0.214	0.54206	-0.05573	-0.03021	0
HGSNAT	0.067	0.121	0.55372	-0.0546	-0.03023	0
MAGI3	0.064	0.132	0.48485	-0.06242	-0.03026	0
NAA35	0.091	0.174	0.52299	-0.05796	-0.03031	0
MSI1	0.052	0.116	0.44828	-0.06763	-0.03032	0
EIF2B1	0.127	0.224	0.56696	-0.05356	-0.03036	0
BCL10	0.067	0.131	0.51145	-0.05954	-0.03045	0
ABL1	0.051	0.122	0.41803	-0.07291	-0.03048	0
VAPA	0.313	0.489	0.64008	-0.04763	-0.03049	0
MAP3K13	0.28	0.409	0.6846	-0.04455	-0.0305	0
ZNF528	0.061	0.132	0.46212	-0.06601	-0.03051	0
NT5C3A	0.184	0.31	0.59355	-0.05142	-0.03052	0
CHIC2	0.042	0.106	0.39623	-0.07704	-0.03053	0
ACVR2A	0.065	0.117	0.55556	-0.05495	-0.03053	0
LPAR2	0.099	0.196	0.5051	-0.06047	-0.03054	0
MTCL1	0.048	0.114	0.42105	-0.07254	-0.03054	0
TMEM258	0.401	0.571	0.70228	-0.04349	-0.03054	0
MAN1A2	0.13	0.213	0.61033	-0.05006	-0.03055	0
STOX2	0.093	0.158	0.58861	-0.052	-0.03061	0
ZNF280D	0.218	0.367	0.59401	-0.05154	-0.03062	0
SARAF	0.518	0.692	0.74855	-0.04091	-0.03062	0
BTBD6	0.017	0.115	0.14783	-0.20749	-0.03067	0
GIT1	0.043	0.104	0.41346	-0.07431	-0.03072	0
LONP2	0.144	0.265	0.5434	-0.05658	-0.03074	0
CDC37L1	0.066	0.129	0.51163	-0.0601	-0.03075	0
NKAP	0.088	0.156	0.5641	-0.05462	-0.03081	0
RNF126	0.043	0.117	0.36752	-0.08412	-0.03092	0
DENND4C	0.05	0.107	0.46729	-0.06619	-0.03093	0
DDX5	0.822	0.944	0.87076	-0.03554	-0.03095	0.00517
SRSF2	0.309	0.483	0.63975	-0.04841	-0.03097	0
FAM172A	0.167	0.275	0.60727	-0.051	-0.03097	0
PSMA3-AS1	0.159	0.262	0.60687	-0.05102	-0.03097	0
TCEAL3	0.17	0.272	0.625	-0.04955	-0.03097	0
KIAA1551	0.139	0.262	0.53053	-0.05847	-0.03102	0
KMT5B	0.268	0.427	0.62763	-0.04951	-0.03107	0
KLHDC10	0.052	0.107	0.48598	-0.06404	-0.03112	0
PRKDC	0.255	0.407	0.62654	-0.0497	-0.03114	0
PCDHGA10	0.046	0.105	0.4381	-0.07118	-0.03118	0
WAC-AS1	0.05	0.122	0.40984	-0.07613	-0.0312	0
ANTXR2	0.054	0.123	0.43902	-0.07109	-0.03121	0
CCDC25	0.082	0.149	0.55034	-0.05675	-0.03123	0
EPHB2	0.094	0.172	0.54651	-0.05718	-0.03125	0
SRGAP2B	0.06	0.118	0.50847	-0.06147	-0.03126	0
ZDHHC17	0.106	0.204	0.51961	-0.06022	-0.03129	0
MICAL3	0.063	0.14	0.45	-0.06957	-0.03131	0
RNF182	0.056	0.106	0.5283	-0.05927	-0.03131	0
TSPAN2	0.095	0.177	0.53672	-0.05835	-0.03132	0
ZZZ3	0.09	0.164	0.54878	-0.05707	-0.03132	0
SPG20	0.067	0.155	0.43226	-0.07256	-0.03137	0
PCGF2	0.092	0.183	0.50273	-0.06243	-0.03139	0
SBF2	0.088	0.169	0.52071	-0.06034	-0.03142	0
WDR86	0.053	0.103	0.51456	-0.06114	-0.03146	0
CACUL1	0.129	0.223	0.57848	-0.05446	-0.0315	0
YES1	0.051	0.126	0.40476	-0.07785	-0.03151	0
LCA5	0.105	0.19	0.55263	-0.0571	-0.03155	0
BCOR	0.077	0.141	0.5461	-0.05778	-0.03156	0
MNT	0.059	0.121	0.4876	-0.06478	-0.03159	0
OSBPL8	0.273	0.424	0.64387	-0.04911	-0.03162	0
MAST2	0.047	0.108	0.43519	-0.07267	-0.03163	0
PSPC1	0.101	0.189	0.53439	-0.0593	-0.03169	0
NFE2L2	0.093	0.179	0.51955	-0.06104	-0.03171	0
GOLGB1	0.253	0.395	0.64051	-0.04955	-0.03174	0
PPP2R5E	0.247	0.398	0.6206	-0.05123	-0.03179	0
ATAD2	0.055	0.118	0.4661	-0.06821	-0.03179	0
DTYMK	0.074	0.136	0.54412	-0.05845	-0.0318	0
TMEM43	0.073	0.137	0.53285	-0.05974	-0.03183	0
CEP57	0.251	0.4	0.6275	-0.05086	-0.03191	0
NSG1	0.439	0.618	0.71036	-0.04494	-0.03193	0
ZNRD1	0.077	0.145	0.53103	-0.06015	-0.03194	0
SLAIN2	0.106	0.197	0.53807	-0.0594	-0.03196	0
NRG1	0.1	0.169	0.59172	-0.05401	-0.03196	0
PHACTR3	0.121	0.234	0.51709	-0.06185	-0.03198	0
OTUD7A	0.047	0.122	0.38525	-0.08301	-0.03198	0
BCAR1	0.05	0.11	0.45455	-0.07041	-0.032	0
LRCH3	0.079	0.152	0.51974	-0.0616	-0.03202	0
FAM219A	0.046	0.101	0.45545	-0.07032	-0.03203	0
VGLL4	0.243	0.391	0.62148	-0.05155	-0.03204	0
TAF10	0.019	0.119	0.15966	-0.20075	-0.03205	0
ABHD10	0.048	0.104	0.46154	-0.06943	-0.03205	0
OPTN	0.15	0.257	0.58366	-0.05496	-0.03208	0
VPS26B	0.066	0.135	0.48889	-0.06561	-0.03208	0
SNN	0.097	0.202	0.4802	-0.06687	-0.03211	0
ZNF430	0.118	0.238	0.4958	-0.06479	-0.03212	0
AASDH	0.106	0.194	0.54639	-0.05881	-0.03213	0
SNX3	0.25	0.394	0.63452	-0.05065	-0.03214	0
LRRC42	0.068	0.134	0.50746	-0.06335	-0.03215	0
LAGE3	0.065	0.137	0.47445	-0.06781	-0.03217	0
LEMD1	0.082	0.152	0.53947	-0.05964	-0.03217	0
PRKD3	0.057	0.12	0.475	-0.06777	-0.03219	0
IER5L	0.016	0.134	0.1194	-0.26983	-0.03222	0
RBM48	0.103	0.186	0.55376	-0.05822	-0.03224	0
DALRD3	0.064	0.121	0.52893	-0.06095	-0.03224	0
IFNGR2	0.055	0.135	0.40741	-0.0792	-0.03227	0
DBN1	0.465	0.648	0.71759	-0.04504	-0.03232	0
RER1	0.086	0.173	0.49711	-0.06504	-0.03233	0
UBE2J2	0.091	0.18	0.50556	-0.06395	-0.03233	0
TMEM167B	0.081	0.137	0.59124	-0.05477	-0.03238	0
ZCCHC7	0.101	0.178	0.56742	-0.05714	-0.03242	0
RSRC1	0.099	0.178	0.55618	-0.0586	-0.03259	0
RIOK3	0.085	0.179	0.47486	-0.06874	-0.03264	0
CNKSR3	0.062	0.122	0.5082	-0.06424	-0.03265	0
CORO2B	0.117	0.224	0.52232	-0.06258	-0.03269	0
EIF2S3	0.198	0.328	0.60366	-0.05416	-0.03269	0
RLF	0.136	0.235	0.57872	-0.05654	-0.03272	0
NCK1	0.137	0.259	0.52896	-0.06189	-0.03274	0
LTN1	0.14	0.244	0.57377	-0.05709	-0.03276	0
ZFP14	0.09	0.169	0.53254	-0.06157	-0.03279	0
NRIP1	0.076	0.157	0.48408	-0.06781	-0.03283	0
LRRC47	0.066	0.136	0.48529	-0.06766	-0.03283	0
FDX1	0.045	0.102	0.44118	-0.07448	-0.03286	0
CMC2	0.084	0.162	0.51852	-0.06342	-0.03288	0
SIAH2	0.051	0.119	0.42857	-0.0768	-0.03291	0
WDR83OS	0.338	0.542	0.62362	-0.0529	-0.03299	0
COA6	0.076	0.149	0.51007	-0.06467	-0.03299	0
REEP2	0.065	0.141	0.46099	-0.07158	-0.033	0
PELI1	0.052	0.105	0.49524	-0.06668	-0.03302	0
ZC3H4	0.047	0.11	0.42727	-0.07731	-0.03303	0
PSMD1	0.127	0.227	0.55947	-0.05911	-0.03307	0
SPEN	0.238	0.409	0.58191	-0.05685	-0.03308	0
DHX38	0.068	0.142	0.47887	-0.06907	-0.03308	0
PPP2R2A	0.146	0.248	0.58871	-0.05618	-0.03308	0
DISP2	0.062	0.131	0.47328	-0.06997	-0.03312	0
RABEP1	0.148	0.269	0.55019	-0.06027	-0.03316	0
ZFP37	0.093	0.174	0.53448	-0.0621	-0.03319	0
GPAT4	0.048	0.101	0.47525	-0.0699	-0.03322	0
CAB39L	0.078	0.157	0.49682	-0.06688	-0.03323	0
SLF1	0.138	0.223	0.61883	-0.05371	-0.03324	0
CENPJ	0.081	0.166	0.48795	-0.06815	-0.03325	0
STRA13	0.197	0.337	0.58457	-0.05691	-0.03327	0
ZNF510	0.043	0.117	0.36752	-0.09055	-0.03328	0
SMIM10L1	0.1	0.178	0.5618	-0.05925	-0.03329	0
ZNF423	0.048	0.113	0.42478	-0.07839	-0.0333	0
KCTD16	0.102	0.181	0.56354	-0.05908	-0.0333	0
C15orf40	0.063	0.112	0.5625	-0.05921	-0.03331	0
NFYB	0.14	0.265	0.5283	-0.0632	-0.03339	0
KCTD20	0.078	0.151	0.51656	-0.06492	-0.03353	0
CTDSP2	0.086	0.164	0.52439	-0.06398	-0.03355	0
TCAF1	0.324	0.496	0.65323	-0.05143	-0.03359	0
AGO1	0.086	0.153	0.56209	-0.05979	-0.03361	0
RAB9A	0.072	0.15	0.48	-0.07008	-0.03364	0
VEGFB	0.02	0.109	0.18349	-0.18338	-0.03365	0
MEX3D	0.019	0.16	0.11875	-0.28384	-0.03371	0
SEPHS1	0.057	0.143	0.3986	-0.08466	-0.03375	0
ACSL3	0.094	0.16	0.5875	-0.05746	-0.03376	0
MOB2	0.084	0.169	0.49704	-0.068	-0.0338	0
EMC7	0.108	0.201	0.53731	-0.06295	-0.03382	0
LDB1	0.066	0.143	0.46154	-0.0733	-0.03383	0
TSPAN31	0.068	0.137	0.49635	-0.06819	-0.03385	0
PRKAR1B	0.054	0.113	0.47788	-0.07088	-0.03387	0
MAP3K12	0.032	0.114	0.2807	-0.12068	-0.03388	0
ZNF506	0.075	0.152	0.49342	-0.06866	-0.03388	0
IQCB1	0.056	0.125	0.448	-0.07562	-0.03388	0
ATXN2L	0.067	0.139	0.48201	-0.07033	-0.0339	0
GOLGA3	0.05	0.113	0.44248	-0.07672	-0.03395	0
TSSC4	0.157	0.274	0.57299	-0.05926	-0.03396	0
ABCC5	0.054	0.113	0.47788	-0.0711	-0.03398	0
CERS5	0.055	0.111	0.4955	-0.06861	-0.03399	0
VEZT	0.212	0.357	0.59384	-0.05725	-0.034	0
TMEM41B	0.065	0.129	0.50388	-0.0676	-0.03406	0
ZNF660	0.087	0.158	0.55063	-0.06191	-0.03409	0
FAM193A	0.064	0.131	0.48855	-0.06988	-0.03414	0
CKAP4	0.094	0.186	0.50538	-0.067780000000000007	-0.03426	0
TMEM14C	0.169	0.266	0.63534	-0.05393	-0.03426	0
MLXIP	0.088	0.165	0.53333	-0.06429	-0.03429	0
PLEKHM2	0.023	0.108	0.21296	-0.16111	-0.03431	0
CCM2	0.046	0.124	0.37097	-0.09248	-0.03431	0
REV1	0.078	0.155	0.50323	-0.06822	-0.03433	0
CCDC88C	0.143	0.253	0.56522	-0.0608	-0.03436	0
GATAD2A	0.032	0.102	0.31373	-0.10958	-0.03438	0
MLX	0.086	0.169	0.50888	-0.06761	-0.03441	0
MAPK8IP1	0.047	0.118	0.39831	-0.08641	-0.03442	0
SOBP	0.129	0.225	0.57333	-0.06005	-0.03443	0
TTYH1	0.054	0.135	0.4	-0.08614	-0.03446	0
MOB4	0.152	0.264	0.57576	-0.05985	-0.03446	0
MGRN1	0.09	0.185	0.48649	-0.07092	-0.0345	0
DYRK1A	0.05	0.121	0.41322	-0.08351	-0.03451	0
ZNF583	0.1	0.19	0.52632	-0.06558	-0.03451	0
FAM134A	0.071	0.158	0.44937	-0.07685	-0.03453	0
FLYWCH2	0.08	0.168	0.47619	-0.07258	-0.03456	0
LSG1	0.066	0.123	0.53659	-0.06442	-0.03457	0
SLC39A1	0.056	0.11	0.50909	-0.06795	-0.03459	0
ZNF273	0.061	0.133	0.45865	-0.07549	-0.03462	0
ZBTB1	0.057	0.129	0.44186	-0.07836	-0.03463	0
AEBP2	0.036	0.105	0.34286	-0.10104	-0.03464	0
CEP104	0.052	0.119	0.43697	-0.07928	-0.03464	0
SVBP	0.28	0.432	0.64815	-0.05345	-0.03465	0
AP1AR	0.1	0.188	0.53191	-0.06518	-0.03467	0
EPC2	0.118	0.231	0.51082	-0.06789	-0.03468	0
ABHD17A	0.023	0.122	0.18852	-0.18423	-0.03473	0
GIGYF1	0.036	0.112	0.32143	-0.1082	-0.03478	0
LTV1	0.052	0.12	0.43333	-0.08031	-0.0348	0
FAM134B	0.05	0.126	0.39683	-0.08777	-0.03483	0
CARS2	0.038	0.102	0.37255	-0.09358	-0.03486	0
TMEM222	0.074	0.157	0.47134	-0.07405	-0.0349	0
TCEAL2	0.23	0.376	0.6117	-0.05726	-0.03503	0
NAMPT	0.05	0.11	0.45455	-0.0771	-0.03505	0
SMAD9	0.069	0.133	0.5188	-0.06758	-0.03506	0
ARID2	0.106	0.203	0.52217	-0.06722	-0.0351	0
NECAP2	0.052	0.124	0.41935	-0.08373	-0.03511	0
MDM2	0.079	0.154	0.51299	-0.06847	-0.03512	0
SHOC2	0.183	0.307	0.59609	-0.05893	-0.03513	0
RPAIN	0.527	0.736	0.71603000000000006	-0.04906	-0.03513	0
HIVEP2	0.049	0.113	0.43363	-0.08108	-0.03516	0
ASXL3	0.153	0.289	0.52941	-0.06658	-0.03525	0
EPN1	0.095	0.188	0.50532	-0.0698	-0.03527	0
MEF2A	0.104	0.188	0.55319	-0.06379	-0.03529	0
TMEM223	0.061	0.123	0.49593	-0.0712	-0.03531	0
CDC16	0.082	0.162	0.50617	-0.06988	-0.03537	0
MTMR3	0.045	0.102	0.44118	-0.08019	-0.03538	0
NDUFV2	0.268	0.425	0.63059	-0.05612	-0.03539	0
ZNF766	0.136	0.249	0.54618	-0.06482	-0.0354	0
FOXJ3	0.056	0.13	0.43077	-0.08223	-0.03542	0
ING5	0.048	0.117	0.41026	-0.08635	-0.03542	0
HECTD2	0.061	0.131	0.46565	-0.07606	-0.03542	0
