gene	cluster	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logFC
GLRA2	somatosensory	neuron	gw20	1.50463	0	0.194	4.34475	0.252	0.058	0.34631
TOX3	somatosensory	neuron	gw20	1.46124	0	0.269	3.5377	0.375	0.106	0.41305
HPCAL1	somatosensory	neuron	gw20	1.37345	0	0.254	3.73114	0.347	0.093	0.3681
CCDC144A	somatosensory	neuron	gw20	1.31915	0	0.166	5.25628	0.205	0.039	0.25097
NELL2	somatosensory	neuron	gw20	1.30318	0	0.422	2.20916	0.771	0.349	0.5899
SRM	somatosensory	neuron	gw20	1.2807	0	0.355	1.68932	0.87	0.515	0.75812
ACTR3B	somatosensory	neuron	gw20	1.27557	0	0.286	3.34423	0.408	0.122	0.38142
DRAXIN	somatosensory	neuron	gw20	1.23779	0	0.341	2.82351	0.528	0.187	0.43839
RRAS2	somatosensory	neuron	gw20	1.20698	0	0.168	4.65207	0.214	0.046	0.25945
RFK	somatosensory	neuron	gw20	1.20203	0	0.341	2.83332	0.527	0.186	0.42425
AC004158.3	somatosensory	neuron	gw20	1.19037	0	0.337	2.85163	0.519	0.182	0.41743
PIK3R1	somatosensory	neuron	gw20	1.1592	0	0.302	2.81926	0.468	0.166	0.41117
CXXC4	somatosensory	neuron	gw20	1.15293	0	0.219	4.31812	0.285	0.066	0.267
DUSP4	somatosensory	neuron	gw20	1.14493	0	0.159	3.94437	0.213	0.054	0.29027
CLMP	somatosensory	neuron	gw20	1.11851	0	0.363	2.65752	0.582	0.219	0.42088
MPPED1	somatosensory	neuron	gw20	1.06475	0	0.37	2.52892	0.612	0.242	0.42103
CCDC184	somatosensory	neuron	gw20	1.06365	0	0.28	3.13738	0.411	0.131	0.33902
NCOA1	somatosensory	neuron	gw20	1.05945	0	0.247	3.44551	0.348	0.101	0.30749
CLSTN1	somatosensory	neuron	gw20	1.04787	0	0.248	3.69561	0.34	0.092	0.28354
SEPT6	somatosensory	neuron	gw20	1.03297	0	0.282	2.99998	0.423	0.141	0.34433
PLPPR1	somatosensory	neuron	gw20	0.99862	0	0.276	3.12305	0.406	0.13	0.31976
FGF12	somatosensory	neuron	gw20	0.99235	0	0.326	2.3471	0.568	0.242	0.4228
NAV3	somatosensory	neuron	gw20	0.97848	0	0.183	3.73129	0.25	0.067	0.26224
LSAMP	somatosensory	neuron	gw20	0.9742	0	0.214	3.64193	0.295	0.081	0.2675
CMC2	somatosensory	neuron	gw20	0.96816	0	0.248	2.99998	0.372	0.124	0.32272
KLF6	somatosensory	neuron	gw20	0.96393	0	0.321	2.28399	0.571	0.25	0.42204
MAPK10	somatosensory	neuron	gw20	0.94326	0	0.298	2.75292	0.468	0.17	0.34264
ADGRL3	somatosensory	neuron	gw20	0.94001	0	0.23	3.3232	0.329	0.099	0.28286
PCLO	somatosensory	neuron	gw20	0.93475	0	0.33	2.2992	0.584	0.254	0.40655
MAPT	somatosensory	neuron	gw20	0.93093	0	0.338	1.64258	0.864	0.526	0.56675
ZNF708	somatosensory	neuron	gw20	0.92858	0	0.2	3.5316	0.279	0.079	0.26293
ZNF703	somatosensory	neuron	gw20	0.91566	0	0.099	3.53837	0.138	0.039	0.25878
STX1A	somatosensory	neuron	gw20	0.90102	0	0.237	3.04308	0.353	0.116	0.29609
FBXW7	somatosensory	neuron	gw20	0.90096	0	0.309	2.67933	0.493	0.184	0.33626
INA	somatosensory	neuron	gw20	0.8887	0	0.311	2.32905	0.545	0.234	0.38157
RUNDC3B	somatosensory	neuron	gw20	0.86067	0	0.224	3.3333	0.32	0.096	0.2582
ATAT1	somatosensory	neuron	gw20	0.85869	0	0.38	1.88578	0.809	0.429	0.45535
TMEM35	somatosensory	neuron	gw20	0.85841	0	0.325	2.42543	0.553	0.228	0.35392
NCOR1	somatosensory	neuron	gw20	0.85605	0	0.371	2.47221	0.623	0.252	0.34627
FSCN1	somatosensory	neuron	gw20	0.84934	0	0.349	2.24198	0.63	0.281	0.37883
BDP1	somatosensory	neuron	gw20	0.84752	0	0.302	2.45191	0.51	0.208	0.34566
SERPINE2	somatosensory	neuron	gw20	0.8471	0	0.289	2.0586	0.562	0.273	0.41149
PDE4D	somatosensory	neuron	gw20	0.83868	0	0.205	3.22823	0.297	0.092	0.2598
MIAT	somatosensory	neuron	gw20	0.83443	0	0.373	2.21498	0.68	0.307	0.37672
MB21D2	somatosensory	neuron	gw20	0.82952	0	0.199	3.11699	0.293	0.094	0.26613
TNIK	somatosensory	neuron	gw20	0.82696	0	0.259	2.90439	0.395	0.136	0.28473
DST	somatosensory	neuron	gw20	0.8218	0	0.297	2.4776	0.498	0.201	0.33169
C20orf96	somatosensory	neuron	gw20	0.82092	0	0.215	3.06728	0.319	0.104	0.26764
PGM2L1	somatosensory	neuron	gw20	0.81909	0	0.321	2.19775	0.589	0.268	0.3727
HMGCS1	somatosensory	neuron	gw20	0.80996	0	0.323	1.84114	0.707	0.384	0.43992
LINC01102	somatosensory	neuron	gw20	0.80632	0	0.335	2.08766	0.643	0.308	0.38623
FAM126A	somatosensory	neuron	gw20	0.80441	0	0.207	3.17891	0.302	0.095	0.25305
FZD3	somatosensory	neuron	gw20	0.80395	0	0.265	2.72076	0.419	0.154	0.29549
GNAI1	somatosensory	neuron	gw20	0.80339	0	0.319	2.21292	0.582	0.263	0.36305
FAM161A	somatosensory	neuron	gw20	0.80064	0	0.211	3.1530300000000002	0.309	0.098	0.25393
PTPRO	somatosensory	neuron	gw20	0.7979	0	0.233	2.9256	0.354	0.121	0.27273
TSPAN14	somatosensory	neuron	gw20	0.75662	0	0.241	3.00831	0.361	0.12	0.25151
SCD5	somatosensory	neuron	gw20	0.75605	0	0.311	2.34051	0.543	0.232	0.32303
RALA	somatosensory	neuron	gw20	0.75603	0	0.303	2.37103	0.524	0.221	0.31886
PLPPR2	somatosensory	neuron	gw20	0.74893	0	0.229	2.90831	0.349	0.12	0.25751
KLF7	somatosensory	neuron	gw20	0.74782	0	0.232	2.75755	0.364	0.132	0.27119
PKIG	somatosensory	neuron	gw20	0.74453	0	0.237	2.91127	0.361	0.124	0.25574
TSPAN5	somatosensory	neuron	gw20	0.74441	0	0.306	2.30212	0.541	0.235	0.32336
ANK3	somatosensory	neuron	gw20	0.74359	0	0.28	2.45076	0.473	0.193	0.30341
ACAT2	somatosensory	neuron	gw20	0.73567	0	0.303	1.67937	0.749	0.446	0.43807
KCNQ1OT1	somatosensory	neuron	gw20	0.73545	0	0.282	2.12799	0.532	0.25	0.34561
NETO2	somatosensory	neuron	gw20	0.73268	0	0.299	1.84225	0.654	0.355	0.39771
ENC1	somatosensory	neuron	gw20	0.73191	0	0.171	1.25484	0.842	0.671	0.58327
CSRP2	somatosensory	neuron	gw20	0.73066	0	0.116	1.14146	0.936	0.82	0.64011
COTL1	somatosensory	neuron	gw20	0.72612	0	0.338	1.96296	0.689	0.351	0.36991
ATP6V0E2	somatosensory	neuron	gw20	0.72204	0	0.32	2.20754	0.585	0.265	0.32708
TRIM2	somatosensory	neuron	gw20	0.71846	0	0.332	2.27691	0.592	0.26	0.31554
CHN2	somatosensory	neuron	gw20	0.71612	0	0.257	2.59626	0.418	0.161	0.27583
MYT1L	somatosensory	neuron	gw20	0.70513	0	0.338	1.7316	0.8	0.462	0.40721
PGRMC1	somatosensory	neuron	gw20	0.69374	0	0.312	2.23319	0.565	0.253	0.31065
SH3BP5	somatosensory	neuron	gw20	0.6812	0	0.321	2.22518	0.583	0.262	0.30613
FAM213A	somatosensory	neuron	gw20	0.67889	0	0.35	2.03244	0.689	0.339	0.33403
NKAIN2	somatosensory	neuron	gw20	0.67222	0	0.253	2.47952	0.424	0.171	0.27111
VGLL4	somatosensory	neuron	gw20	0.6713	0	0.292	2.45272	0.493	0.201	0.2737
CYB5B	somatosensory	neuron	gw20	0.66755	0	0.218	2.56833	0.357	0.139	0.25992
NNAT	somatosensory	neuron	gw20	0.66638	0	0.185	1.23358	0.977	0.792	0.5402
SARAF	somatosensory	neuron	gw20	0.66232	0	0.35	1.65298	0.886	0.536	0.40068
SPTBN1	somatosensory	neuron	gw20	0.66035	0	0.276	2.24886	0.497	0.221	0.29364
RAB3A	somatosensory	neuron	gw20	0.65672	0	0.324	1.93641	0.67	0.346	0.33914
IDH1	somatosensory	neuron	gw20	0.65149	0	0.276	2.43004	0.469	0.193	0.2681
INSIG1	somatosensory	neuron	gw20	0.64967	0	0.218	2.2457	0.393	0.175	0.2893
LINC00657	somatosensory	neuron	gw20	0.64687	0	0.291	2.19261	0.535	0.244	0.29502
RP11-382A20.3	somatosensory	neuron	gw20	0.64166	0	0.292	2.34561	0.509	0.217	0.27356
SMAP1	somatosensory	neuron	gw20	0.64046	0	0.276	2.41537	0.471	0.195	0.26516
ODF2L	somatosensory	neuron	gw20	0.63753	0	0.251	2.45929	0.423	0.172	0.25923
ARL6IP5	somatosensory	neuron	gw20	0.63573	0	0.316	2.24409	0.57	0.254	0.28329
GRB2	somatosensory	neuron	gw20	0.63101	0	0.321	2.11072	0.61	0.289	0.29895
BLCAP	somatosensory	neuron	gw20	0.63045	0	0.284	2.2456	0.512	0.228	0.28075
DAAM1	somatosensory	neuron	gw20	0.62759	0	0.324	1.75	0.756	0.432	0.35862
MAP4	somatosensory	neuron	gw20	0.62177	0	0.304	2.09352	0.582	0.278	0.297
MAP7D1	somatosensory	neuron	gw20	0.62093	0	0.251	2.39443	0.431	0.18	0.25932
CALR	somatosensory	neuron	gw20	0.61614	0	0.236	2.32583	0.414	0.178	0.26491
NCAM1	somatosensory	neuron	gw20	0.61427	0	0.326	1.73094	0.772	0.446	0.35488
CELF1	somatosensory	neuron	gw20	0.6118	0	0.293	2.2575	0.526	0.233	0.27101
ARPP21	somatosensory	neuron	gw20	0.61107	0	0.27	1.46713	0.848	0.578	0.41651
CD24	somatosensory	neuron	gw20	0.60821	0	0.131	1.1525	0.99	0.859	0.52773
KAT6B	somatosensory	neuron	gw20	0.60473	0	0.28	2.41413	0.478	0.198	0.2505
KMT2E	somatosensory	neuron	gw20	0.59854	0	0.324	1.9446	0.667	0.343	0.3078
WHSC1L1	somatosensory	neuron	gw20	0.59796	0	0.32	2.0596	0.622	0.302	0.29033
ITSN1	somatosensory	neuron	gw20	0.59401	0	0.283	2.29223	0.502	0.219	0.25914
SLC8A1	somatosensory	neuron	gw20	0.58583	0	0.257	2.17351	0.476	0.219	0.26953
DYNC1H1	somatosensory	neuron	gw20	0.58327	0	0.304	2.08571	0.584	0.28	0.27965
GDAP1L1	somatosensory	neuron	gw20	0.58281	0	0.303	2.15648	0.565	0.262	0.27026
PPP3CB	somatosensory	neuron	gw20	0.58186	0	0.296	2.21311	0.54	0.244	0.26292
TUBB4B	somatosensory	neuron	gw20	0.58083	0	0.302	2.11851	0.572	0.27	0.27417
KIF21A	somatosensory	neuron	gw20	0.58005	0	0.28	2.10671	0.533	0.253	0.27533
TSPAN13	somatosensory	neuron	gw20	0.56914	0	0.314	1.79093	0.711	0.397	0.31779
OPTN	somatosensory	neuron	gw20	0.56781	0	0.273	2.16169	0.508	0.235	0.26267
KIF3A	somatosensory	neuron	gw20	0.56746	0	0.315	2.0535	0.614	0.299	0.27634
CRMP1	somatosensory	neuron	gw20	0.56697	0	0.236	1.34203	0.926	0.69	0.42248
RTN3	somatosensory	neuron	gw20	0.56144	0	0.269	1.41384	0.919	0.65	0.3971
IDI1	somatosensory	neuron	gw20	0.56083	0	0.299	1.73464	0.706	0.407	0.32331
ELAVL3	somatosensory	neuron	gw20	0.55864	0	0.313	1.71461	0.751	0.438	0.32581
EIF5	somatosensory	neuron	gw20	0.55863	0	0.337	1.75901	0.781	0.444	0.31758
PBX1	somatosensory	neuron	gw20	0.55672	0	0.327	1.73815	0.77	0.443	0.3203
ATP6AP2	somatosensory	neuron	gw20	0.5552	0	0.279	2.21833	0.508	0.229	0.25028
ZC3H13	somatosensory	neuron	gw20	0.55343	0	0.271	2.18859	0.499	0.228	0.25287
MAGEH1	somatosensory	neuron	gw20	0.55275	0	0.281	2.0446	0.55	0.269	0.27035
FRMD4B	somatosensory	neuron	gw20	0.54302	0	0.297	2.04577	0.581	0.284	0.26543
RBFOX1	somatosensory	neuron	gw20	0.53937	0	0.261	1.99999	0.522	0.261	0.26969
MTCH1	somatosensory	neuron	gw20	0.53505	0	0.302	2.01342	0.6	0.298	0.26574
PNISR	somatosensory	neuron	gw20	0.53182	0	0.334	1.75056	0.779	0.445	0.3038
CCNI	somatosensory	neuron	gw20	0.52853000000000006	0	0.099	1.11074	0.993	0.894	0.47584
APLP1	somatosensory	neuron	gw20	0.52778	0	0.324	1.71208	0.779	0.455	0.30827
ZNF706	somatosensory	neuron	gw20	0.52245	0	0.306	1.83152	0.674	0.368	0.28525
NDN	somatosensory	neuron	gw20	0.51545	0	0.277	1.97535	0.561	0.284	0.26094
CHL1	somatosensory	neuron	gw20	0.50957	0	0.306	1.79687	0.69	0.384	0.28359
CCT2	somatosensory	neuron	gw20	0.49823	0	0.303	1.66302	0.76	0.457	0.29959
MAP1B	somatosensory	neuron	gw20	0.49443	0	0.037	1.03878	0.991	0.954	0.47597
NSG1	somatosensory	neuron	gw20	0.4913	0	0.26	1.418	0.882	0.622	0.34647
MLLT3	somatosensory	neuron	gw20	0.49061	0	0.311	1.85674	0.674	0.363	0.26423
SFPQ	somatosensory	neuron	gw20	0.48774	0	0.33	1.65737	0.832	0.502	0.29428
TOP2B	somatosensory	neuron	gw20	0.48228	0	0.322	1.86559	0.694	0.372	0.25851
TCP1	somatosensory	neuron	gw20	0.47863	0	0.324	1.80198	0.728	0.404	0.26562
RAB11A	somatosensory	neuron	gw20	0.47855	0	0.299	1.882	0.638	0.339	0.25428
EIF4G2	somatosensory	neuron	gw20	0.47782	0	0.284	1.46254	0.898	0.614	0.32671
RBFOX2	somatosensory	neuron	gw20	0.47727	0	0.338	1.74778	0.79	0.452	0.27307
APP	somatosensory	neuron	gw20	0.47572	0	0.288	1.50973	0.853	0.565	0.3151
NRXN1	somatosensory	neuron	gw20	0.46398	0	0.298	1.75063	0.695	0.397	0.26504
ARGLU1	somatosensory	neuron	gw20	0.46046	0	0.289	1.54943	0.815	0.526	0.29718
FUS	somatosensory	neuron	gw20	0.45885	0	0.319	1.70419	0.772	0.453	0.26925
SLC25A3	somatosensory	neuron	gw20	0.45866	0	0.293	1.61814	0.767	0.474	0.28345
CEP170	somatosensory	neuron	gw20	0.4575	0	0.329	1.64132	0.842	0.513	0.27874
HSP90AA1	somatosensory	neuron	gw20	0.45661	0	0.097	1.10862	0.99	0.893	0.41187
PHF14	somatosensory	neuron	gw20	0.45266	0	0.317	1.72873	0.752	0.435	0.26185
SYT1	somatosensory	neuron	gw20	0.45089	0	0.244	1.36636	0.91	0.666	0.32999
NDFIP1	somatosensory	neuron	gw20	0.45009	0	0.305	1.61492	0.801	0.496	0.27871
YWHAB	somatosensory	neuron	gw20	0.42717	0	0.283	1.50177	0.847	0.564	0.28444
RTN4	somatosensory	neuron	gw20	0.42664	0	0.179	1.23247	0.949	0.77	0.34617
RAC3	somatosensory	neuron	gw20	0.40921	0	0.265	1.57359	0.727	0.462	0.26005
EID1	somatosensory	neuron	gw20	0.40327	0	0.251	1.39652	0.884	0.633	0.28877
ACTG1	somatosensory	neuron	gw20	0.39861	0	0.041	1.0428	0.999	0.958	0.38225
TUBB2A	somatosensory	neuron	gw20	0.3961	0	0.03	1.03115	0.993	0.963	0.38413
TUBA1A	somatosensory	neuron	gw20	0.37731	0	0	1	1	1	0.37731
SLA	somatosensory	neuron	gw20	0.37681	0	0.253	1.40741	0.874	0.621	0.26773
TUBB2B	somatosensory	neuron	gw20	0.37515	0	0.002	1.002	1	0.998	0.3744
ATRX	somatosensory	neuron	gw20	0.36901	0	0.265	1.4424	0.864	0.599	0.25583
SOX4	somatosensory	neuron	gw20	0.36738	0	0.175	1.21605	0.985	0.81	0.30211
VAMP2	somatosensory	neuron	gw20	0.36677	0	0.217	1.31725	0.901	0.684	0.27844
MLLT11	somatosensory	neuron	gw20	0.35725	0	0.062	1.06652	0.994	0.932	0.33497
HNRNPA2B1	somatosensory	neuron	gw20	0.35586	0	0.183	1.23984	0.946	0.763	0.28702
ARPC5	somatosensory	neuron	gw20	0.35398	0	0.237	1.36744	0.882	0.645	0.25887
UCHL1	somatosensory	neuron	gw20	0.35263	0	0.116	1.1376	0.959	0.843	0.30997
BASP1	somatosensory	neuron	gw20	0.34429	0	0.061	1.06545	0.993	0.932	0.32314
RTN1	somatosensory	neuron	gw20	0.33283	0	0.045	1.04737	0.995	0.95	0.31778
PEBP1	somatosensory	neuron	gw20	0.32955	0	0.112	1.12933	0.978	0.866	0.29181
YWHAH	somatosensory	neuron	gw20	0.32873	0	0.19	1.27182	0.889	0.699	0.25847
TUBB	somatosensory	neuron	gw20	0.32756	0	0.006	1.00604	1	0.994	0.3256
HN1	somatosensory	neuron	gw20	0.31484	0	0.067	1.07267	0.989	0.922	0.29351
STMN2	somatosensory	neuron	gw20	0.30123	0	0.002	1.00201	0.999	0.997	0.30063
MARCKSL1	somatosensory	neuron	gw20	0.29976	0	0.006	1.00604	1	0.994	0.29796
TUBA1B	somatosensory	neuron	gw20	0.29419	0	0.103	1.11839	0.973	0.87	0.26304
EEF1A1	somatosensory	neuron	gw20	0.2909	0	0.001	1.001	1	0.999	0.29061
ACTB	somatosensory	neuron	gw20	0.28818	0	0.006	1.00604	1	0.994	0.28645
CFL1	somatosensory	neuron	gw20	0.27906	0	0.059	1.06317	0.993	0.934	0.26248
HMGB2	somatosensory	neuron	gw22	1.2121	0	0.136	2.72148	0.215	0.079	0.44538
RPL13	somatosensory	neuron	gw22	1.00896	0	0.246	1.33333	0.984	0.738	0.75672
CUX1	somatosensory	neuron	gw22	0.86158	0	0.138	2.27776	0.246	0.108	0.37826
RBP1	somatosensory	neuron	gw22	0.80625	0	0.185	1.52408	0.538	0.353	0.52901
ZNF428	somatosensory	neuron	gw22	0.79582	0	0.215	1.47046	0.672	0.457	0.54121
WDR18	somatosensory	neuron	gw22	0.7273	0	0.108	2.03844	0.212	0.104	0.35679
TUBB2A	somatosensory	neuron	gw22	0.6659	0	0.118	1.14373	0.939	0.821	0.58222
VCAN	somatosensory	neuron	gw22	0.65779	0	0.146	1.42441	0.49	0.344	0.4618
GRP	somatosensory	neuron	gw22	0.6498	0	0.065	1.86664	0.14	0.075	0.34811
DUSP23	somatosensory	neuron	gw22	0.643	0	0.088	2.18916	0.162	0.074	0.29372
DLX6-AS1	somatosensory	neuron	gw22	0.63396	0	0.116	1.42962	0.386	0.27	0.44345
ENC1	somatosensory	neuron	gw22	0.56931	0	0.103	1.17369	0.696	0.593	0.48506
HMGN2	somatosensory	neuron	gw22	0.55702	0	0.152	1.22926	0.815	0.663	0.45313
CADM2	somatosensory	neuron	gw22	0.506	0	0.123	1.45895	0.391	0.268	0.34683
MIF	somatosensory	neuron	gw22	0.48212	0	0.191	1.31886	0.79	0.599	0.36556
ZBTB20	somatosensory	neuron	gw22	0.48118	0.01584	0.082	1.59419	0.22	0.138	0.30183
MDK	somatosensory	neuron	gw22	0.47713	3e-5	0.103	1.32087	0.424	0.321	0.36122
EEF1D	somatosensory	neuron	gw22	0.47438	0	0.14	1.30905	0.593	0.453	0.36238
EIF5	somatosensory	neuron	gw22	0.47375	0	0.105	1.28532	0.473	0.368	0.36858
YWHAQ	somatosensory	neuron	gw22	0.45754	0	0.115	1.16837	0.798	0.683	0.39161
SARAF	somatosensory	neuron	gw22	0.45375	0	0.108	1.21135	0.619	0.511	0.37458
ID2	somatosensory	neuron	gw22	0.45348	0.14384	0.108	1.4186	0.366	0.258	0.31966
ATP6AP2	somatosensory	neuron	gw22	0.44557	0	0.076	1.25938	0.369	0.293	0.3538
HSPA1A	somatosensory	neuron	gw22	0.44477	0.02508	0.093	1.26724	0.441	0.348	0.35098
ARL6IP4	somatosensory	neuron	gw22	0.42989	0.00508	0.073	1.59835	0.195	0.122	0.26896
H2AFZ	somatosensory	neuron	gw22	0.42688	0	0.074	1.10123	0.805	0.731	0.38764
EMC6	somatosensory	neuron	gw22	0.41353	0	0.083	1.59285	0.223	0.14	0.25962
PPDPF	somatosensory	neuron	gw22	0.41129	0	0.091	1.12517	0.818	0.727	0.36554
SNX7	somatosensory	neuron	gw22	0.40117	0.2441	0.045	1.26945	0.212	0.167	0.31602
ALKBH7	somatosensory	neuron	gw22	0.40073	0.0012	0.093	1.38271	0.336	0.243	0.28982
CCDC107	somatosensory	neuron	gw22	0.39096	0.01253	0.074	1.51033	0.219	0.145	0.25886
CTTNBP2	somatosensory	neuron	gw22	0.38648	0.02181	0.085	1.33073	0.342	0.257	0.29043
TMEM147	somatosensory	neuron	gw22	0.37445	1.1e-4	0.074	1.35237	0.284	0.21	0.27688
PPP4C	somatosensory	neuron	gw22	0.37229	5e-5	0.078	1.39795	0.274	0.196	0.26631
CKB	somatosensory	neuron	gw22	0.37029	0	0.107	1.2772	0.493	0.386	0.28992
HIST3H2A	somatosensory	neuron	gw22	0.36685	5e-5	0.067	1.36021	0.253	0.186	0.2697
ATXN10	somatosensory	neuron	gw22	0.36449	9e-5	0.074	1.22222	0.407	0.333	0.29822
ETFB	somatosensory	neuron	gw22	0.36002	0.23671	0.074	1.2291	0.397	0.323	0.29292
EIF1B	somatosensory	neuron	gw22	0.35768	0.0051	-0.011	0.98684	0.825	0.836	0.36245
NDUFB10	somatosensory	neuron	gw22	0.35593	1e-4	0.087	1.1747	0.585	0.498	0.303
EIF4EBP1	somatosensory	neuron	gw22	0.34442	0.02168	0.063	1.29716	0.275	0.212	0.26552
PFN2	somatosensory	neuron	gw22	0.34147	0.0993	0.059	1.12798	0.52	0.461	0.30273
H3F3B	somatosensory	neuron	gw22	0.33085	0	0.032	1.03393	0.975	0.943	0.31999
TMEM161B-AS1	somatosensory	neuron	gw22	0.32529	3e-5	0.106	1.20743	0.617	0.511	0.2694
LSM4	somatosensory	neuron	gw22	0.32352	0.02503	0.055	1.21739	0.308	0.253	0.26575
NPM1	somatosensory	neuron	gw22	0.32318	0	0.056	1.08069	0.75	0.694	0.29905
SRI	somatosensory	neuron	gw22	0.31901	6.7e-4	0.069	1.14712	0.538	0.469	0.2781
ARPP21	somatosensory	neuron	gw22	0.31691	2e-5	0.059	1.0941	0.686	0.627	0.28966
MDH1	somatosensory	neuron	gw22	0.31113	0	0.06	1.14634	0.47	0.41	0.27141
ACTB	somatosensory	neuron	gw22	0.31073	0	0.004	1.00402	0.999	0.995	0.30949
RHEB	somatosensory	neuron	gw22	0.31043	1.6e-4	0.065	1.18207	0.422	0.357	0.26262
SELT	somatosensory	neuron	gw22	0.30149	0.25905	0.049	1.17314	0.332	0.283	0.25699
NNAT	somatosensory	neuron	gw22	0.28772	3e-5	0.043	1.04679	0.962	0.919	0.27486
RTN1	somatosensory	neuron	gw22	0.27901	0	0.005	1.00526	0.955	0.95	0.27755
TBCB	somatosensory	neuron	gw22	0.27218	1e-5	0.039	1.05335	0.77	0.731	0.25839
LAPTM4A	somatosensory	neuron	gw22	0.27147	1	0.035	1.08333	0.455	0.42	0.25059
FABP7	somatosensory	neuron	gw22	0.24748	0.86255	-0.047	0.95114	0.915	0.962	0.2602
NPY	somatosensory	neuron	gw22	0.16904	0.04727	-0.082	0.49693	0.081	0.163	0.34016
PENK	somatosensory	neuron	gw22	0.16045	0	-0.107	0.40555	0.073	0.18	0.39563
LSM4	somatosensory	neuron	gw22t	4.25681	0	0.256	6.81803	0.3	0.044	0.62435
MASP1	somatosensory	neuron	gw22t	3.74672	0	0.215	5.29989	0.265	0.05	0.70694
DIAPH3	somatosensory	neuron	gw22t	3.26164	0	0.092	11.22098	0.101	0.009	0.29067
HIST3H2A	somatosensory	neuron	gw22t	3.25321	0	0.152	9.94059	0.169	0.017	0.32727
EXOC6	somatosensory	neuron	gw22t	2.9649200000000002	0	0.327	2.93489	0.496	0.169	1.01023
TBCB	somatosensory	neuron	gw22t	2.74732	0	0.466	2.25268	0.838	0.372	1.21958
PPDPF	somatosensory	neuron	gw22t	2.38743	0	0.444	2.10173	0.847	0.403	1.13593
TSPO	somatosensory	neuron	gw22t	2.3326	0	0.249	4.03654	0.331	0.082	0.57787
MIF	somatosensory	neuron	gw22t	2.21514	0	0.356	3.56113	0.495	0.139	0.62203
MRPL12	somatosensory	neuron	gw22t	2.11437	0	0.101	7.73282	0.116	0.015	0.27343
CYP26A1	somatosensory	neuron	gw22t	2.05941	0	0.155	4.60454	0.198	0.043	0.44726
EIF4EBP1	somatosensory	neuron	gw22t	2.00625	0	0.171	4.4897	0.22	0.049	0.44686
FKBP1A	somatosensory	neuron	gw22t	1.96784	0	0.347	2.86558	0.533	0.186	0.68672
GRP	somatosensory	neuron	gw22t	1.64376	0	0.113	5.7081	0.137	0.024	0.28797
NME3	somatosensory	neuron	gw22t	1.52878	0	0.146	3.97951	0.195	0.049	0.38416
EXOSC4	somatosensory	neuron	gw22t	1.51189	0	0.118	4.57562	0.151	0.033	0.33042
PCDH17	somatosensory	neuron	gw22t	1.46182	0	0.204	2.99997	0.306	0.102	0.48728
DCXR	somatosensory	neuron	gw22t	1.3973	0	0.105	5.56498	0.128	0.023	0.25109
RPL13	somatosensory	neuron	gw22t	1.38934	0	0.421	2.43196	0.715	0.294	0.57128
MPLKIP	somatosensory	neuron	gw22t	1.3885	0	0.167	3.01201	0.25	0.083	0.46099
PIN1	somatosensory	neuron	gw22t	1.34807	0	0.247	2.09291	0.473	0.226	0.64411
TMED2	somatosensory	neuron	gw22t	1.19952	0	0.234	2.49998	0.39	0.156	0.47981
MOSPD3	somatosensory	neuron	gw22t	1.16744	0	0.148	3.31245	0.212	0.064	0.35244
TMEM147	somatosensory	neuron	gw22t	1.16231	0	0.15	3.54231	0.209	0.059	0.32812
TBCC	somatosensory	neuron	gw22t	1.14758	0	0.139	3.01445	0.208	0.069	0.38069
CALM1	somatosensory	neuron	gw22t	1.13267	0	0.217	1.30181	0.936	0.719	0.87008
CNN3	somatosensory	neuron	gw22t	1.00044	0	0.21	2.33756	0.367	0.157	0.42799
AURKAIP1	somatosensory	neuron	gw22t	0.99616	0	0.209	2.09423	0.4	0.191	0.47567
NDUFB10	somatosensory	neuron	gw22t	0.97692	0	0.261	2.04818	0.51	0.249	0.47697
ARL4A	somatosensory	neuron	gw22t	0.97079	0	0.143	2.70235	0.227	0.084	0.35924
ACTB	somatosensory	neuron	gw22t	0.96564	0	0.031	1.03202	0.999	0.968	0.93568
RHEB	somatosensory	neuron	gw22t	0.96009	0	0.185	2.5289	0.306	0.121	0.37965
MFSD10	somatosensory	neuron	gw22t	0.95496	0	0.094	3.47359	0.132	0.038	0.27492
RAB11B	somatosensory	neuron	gw22t	0.93948	0	0.173	2.28146	0.308	0.135	0.41179
RPS19BP1	somatosensory	neuron	gw22t	0.91622	0	0.156	2.13867	0.293	0.137	0.42841
ATP6V0E2	somatosensory	neuron	gw22t	0.89779	0	0.226	1.94166	0.466	0.24	0.46238
ZNF593	somatosensory	neuron	gw22t	0.89619	0	0.093	3.32492	0.133	0.04	0.26954
GPX1	somatosensory	neuron	gw22t	0.88861	0	0.23	1.53864	0.657	0.427	0.57753
SLC25A3	somatosensory	neuron	gw22t	0.86609	0	0.229	1.7003	0.556	0.327	0.50937
VAMP2	somatosensory	neuron	gw22t	0.86283	0	0.221	1.37585	0.809	0.588	0.62713
TUBB2A	somatosensory	neuron	gw22t	0.84303	0	0.262	1.43886	0.859	0.597	0.5859
PPP1R2	somatosensory	neuron	gw22t	0.82698	0	0.124	2.63154	0.2	0.076	0.31426
ATP6AP2	somatosensory	neuron	gw22t	0.81361000000000006	0	0.162	2.03845	0.318	0.156	0.39913
