gene	individual	area	region	stage	cell_type	p_val_adj	avg_logfc	gene.score	enrichment_ratio	pct.1	pct.2
ILF3	gw19	temporal	temporal	mid	neuron	0	0.37341	0.42433	1.13636	0.75	0.66
ILK	gw19	temporal	temporal	mid	rg	0	0.35092	0.63069	1.79726	0.656	0.365
ILKAP	gw19	parietal	msp	mid	rg	0	0.28163	0.63116	2.24107	0.251	0.112
ILKAP	gw19	parietal	msp	mid	ipc	0	0.27174	0.56242	2.06974	0.178	0.086
IMP3	gw19	parietal	msp	mid	rg	0	0.28867	0.51735	1.79221	0.414	0.231
IMP3	gw19	pfc	pfc	mid	rg	4e-5	0.28789	0.5746	1.99588	0.485	0.243
IMPDH2	gw19	temporal	temporal	mid	neuron	0	0.26213	0.32681	1.24675	0.48	0.385
IMPDH2	gw19	temporal	temporal	mid	rg	0	0.29584	0.48203	1.62937	0.699	0.429
INA	gw19	pfc	pfc	mid	neuron	0	0.32622	0.50611	1.55143	0.543	0.35
INHBA	gw19	parietal	msp	mid	neuron	0	0.59454	1.78363	3	0.312	0.104
INHBA	gw19	v1	v1	mid	neuron	0	0.27439	0.55799	2.0336	0.242	0.119
INPP1	gw19	temporal	temporal	mid	rg	0	0.29753	0.6036	2.02874	0.353	0.174
INSIG1	gw19	parietal	msp	mid	rg	0	0.28192	0.45505	1.61411	0.389	0.241
INSIG1	gw19	temporal	temporal	mid	rg	0	0.28171	0.54127	1.9214	0.44	0.229
INTS10	gw19	temporal	temporal	mid	rg	0	0.30196	0.6227	2.06218	0.398	0.193
INTU	gw19	pfc	pfc	mid	rg	0	0.27502	0.5244	1.90675	0.593	0.311
IQGAP2	gw19	parietal	msp	mid	rg	0	0.29938	0.47105	1.57343	0.675	0.429
IQGAP2	gw19	parietal	msp	mid	ipc	0	0.29655	0.79432	2.67852	0.15	0.056
IRF1	gw19	v1	v1	mid	rg	0	0.66259	2.43228	3.67089	0.29	0.079
ISCU	gw19	parietal	msp	mid	rg	0	0.37	0.70591	1.90789	0.435	0.228
ISCU	gw19	pfc	pfc	mid	rg	0	0.38067	0.86965	2.28452	0.546	0.239
ITFG1	gw19	temporal	temporal	mid	rg	0	0.27443	0.53288	1.9418	0.367	0.189
ITGA6	gw19	pfc	pfc	mid	rg	0	0.38764	0.97601	2.51786	0.423	0.168
ITGB8	gw19	pfc	pfc	mid	rg	0.00101	0.26535	0.46419	1.74933	0.649	0.371
ITM2B	gw19	parietal	msp	mid	ipc	0	0.72663	1.87182	2.57604	0.559	0.217
ITM2B	gw19	pfc	pfc	mid	ipc	0	0.43923	0.82863	1.88655	0.449	0.238
ITM2B	gw19	parietal	msp	mid	neuron	0	0.51733	0.87789	1.69697	0.56	0.33
ITM2B	gw19	pfc	pfc	mid	neuron	0	0.2879	0.49068	1.70432	0.513	0.301
ITM2B	gw19	parietal	msp	mid	rg	0	0.41781	0.71379	1.70842	0.832	0.487
ITM2B	gw19	pfc	pfc	mid	rg	0	0.42493	0.76188	1.79297	0.918	0.512
ITM2B	gw19	somatosensory	msp	mid	rg	0	0.29014	0.2945	1.01504	0.54	0.532
ITM2C	gw19	temporal	temporal	mid	rg	0	0.38343	0.63215	1.64865	0.793	0.481
ITPR2	gw19	pfc	pfc	mid	ipc	0	0.36718	1.20642	3.28566	0.184	0.056
IVNS1ABP	gw19	temporal	temporal	mid	ipc	0	0.26722	0.37345	1.39754	0.341	0.244
IVNS1ABP	gw19	temporal	temporal	mid	neuron	1e-5	0.26869	0.35487	1.32075	0.35	0.265
JAK1	gw19	pfc	pfc	mid	neuron	0	0.36498	0.88451	2.42342	0.269	0.111
JAK1	gw19	pfc	pfc	mid	ipc	0	0.3517	0.87542	2.4891	0.229	0.092
JAK1	gw19	somatosensory	msp	mid	rg	0	0.29045	0.31608	1.08823	0.259	0.238
JAK1	gw19	parietal	msp	mid	ipc	0	0.29156	0.61017	2.09276	0.203	0.097
JPH1	gw19	parietal	msp	mid	rg	0	0.2848	1.02632	3.60371	0.191	0.053
JPX	gw19	v1	v1	mid	rg	0.03089	0.25956	0.4235	1.63158	0.341	0.209
JTB	gw19	parietal	msp	mid	ipc	0	0.39172	0.68821	1.75688	0.383	0.218
JTB	gw19	pfc	pfc	mid	ipc	5e-5	0.26039	0.39404	1.51327	0.342	0.226
JTB	gw19	parietal	msp	mid	rg	0	0.39635	0.78011	1.96825	0.62	0.315
JTB	gw19	pfc	pfc	mid	rg	0	0.28375	0.50029	1.76315	0.603	0.342
JUN	gw19	parietal	msp	mid	ipc	0	0.79755	1.62802	2.04126	0.841	0.412
JUN	gw19	pfc	pfc	mid	ipc	0	0.33753	0.49198	1.45759	0.653	0.448
JUN	gw19	parietal	msp	mid	neuron	0	0.41345	0.5267	1.27391	0.586	0.46
JUN	gw19	somatosensory	msp	mid	rg	0	0.34043	0.36623	1.07579	0.951	0.884
JUN	gw19	pfc	pfc	mid	rg	0	0.56652	0.60479	1.06755	0.964	0.903
JUN	gw19	parietal	msp	mid	rg	0	0.73954	0.8073	1.09162	0.977	0.895
JUNB	gw19	parietal	msp	mid	rg	0	0.49288	0.88993	1.80556	0.52	0.288
JUNB	gw19	pfc	pfc	mid	rg	0	0.43943	0.83132	1.8918	0.577	0.305
JUNB	gw19	temporal	temporal	mid	rg	0	0.47753	1.00212	2.09854	0.575	0.274
JUNB	gw19	v1	v1	mid	rg	5e-5	0.32104	0.53931	1.67987	0.509	0.303
JUND	gw19	v1	v1	mid	ipc	0	0.36771	0.63809	1.73529	0.354	0.204
JUND	gw19	v1	v1	mid	rg	0	0.33875	0.55432	1.63636	0.648	0.396
KCNG1	gw19	parietal	msp	mid	rg	0	0.27552	0.80111	2.90765	0.189	0.065
KCNJ6	gw19	motor	msp	mid	neuron	0	0.26179	0.42616	1.62791	0.35	0.215
KCNJ6	gw19	pfc	pfc	mid	neuron	0	0.63332	1.97796	3.12319	0.431	0.138
KCNN3	gw19	temporal	temporal	mid	rg	0	0.41876	0.95018	2.26906	0.506	0.223
KCNN3	gw19	temporal	temporal	mid	ipc	0	0.26965	0.37558	1.39285	0.312	0.224
KCNQ2	gw19	somatosensory	msp	mid	rg	0	0.38381	0.99301	2.58726	0.163	0.063
KDELR1	gw19	temporal	temporal	mid	rg	0	0.26165	0.43354	1.65695	0.512	0.309
KDELR2	gw19	parietal	msp	mid	rg	0	0.28328	0.60091	2.12121	0.28	0.132
KDM1A	gw19	pfc	pfc	mid	ipc	0	0.27404	0.4502	1.64286	0.253	0.154
KDM1A	gw19	pfc	pfc	mid	neuron	0	0.34932	0.69673	1.99454	0.365	0.183
KDM5B	gw19	pfc	pfc	mid	rg	4.9e-4	0.25717	0.47908	1.86288	0.557	0.299
KDM5B	gw19	pfc	pfc	mid	ipc	0	0.27911	0.38283	1.37162	0.609	0.444
KDM5B	gw19	temporal	temporal	mid	neuron	0	0.25715	0.27909	1.08532	0.547	0.504
KHDRBS1	gw19	parietal	msp	mid	ipc	0	0.36622	0.56664	1.54728	0.54	0.349
KHDRBS1	gw19	pfc	pfc	mid	neuron	0	0.30012	0.44423	1.48018	0.672	0.454
KHDRBS1	gw19	somatosensory	msp	mid	rg	0	0.4253	0.48298	1.13564	0.427	0.376
KIAA1107	gw19	temporal	temporal	mid	neuron	0	0.47705	0.7479	1.56777	0.613	0.391
KIAA1324	gw19	v1	v1	mid	ipc	0	0.25289	0.41642	1.64666	0.247	0.15
KIAA1324	gw19	temporal	temporal	mid	neuron	0	0.30721	0.59992	1.95281	0.207	0.106
KIAA1456	gw19	motor	msp	mid	neuron	0	0.36617	0.83388	2.27731	0.271	0.119
KIF1B	gw19	pfc	pfc	mid	neuron	0	0.34037	0.53898	1.58354	0.635	0.401
KIF1BP	gw19	temporal	temporal	mid	rg	0	0.33612	0.62961	1.87313	0.502	0.268
KIF21A	gw19	pfc	pfc	mid	rg	3e-5	0.2742	0.40247	1.46783	0.753	0.513
KIF2A	gw19	pfc	pfc	mid	neuron	0	0.26079	0.3576	1.37124	0.639	0.466
KIF3B	gw19	pfc	pfc	mid	neuron	0	0.30758	0.5655	1.83854	0.353	0.192
KIF5B	gw19	parietal	msp	mid	ipc	0	0.27848	0.39106	1.40426	0.594	0.423
KIF5B	gw19	temporal	temporal	mid	ipc	0	0.25337	0.32593	1.28638	0.548	0.426
KIF5B	gw19	temporal	temporal	mid	rg	0	0.27526	0.4306	1.56436	0.79	0.505
KIF5B	gw19	parietal	msp	mid	rg	0	0.31627	0.46304	1.46407	0.754	0.515
KIF5B	gw19	temporal	temporal	mid	neuron	0	0.28444	0.31438	1.10526	0.693	0.627
KIF5C	gw19	pfc	pfc	mid	neuron	0	0.35884	0.52115	1.4523	0.822	0.566
KIF5C	gw19	somatosensory	msp	mid	rg	0	0.3123	0.31025	0.99342	0.453	0.456
KLC1	gw19	parietal	msp	mid	neuron	0	0.28905	0.39624	1.37083	0.329	0.24
KLC1	gw19	parietal	msp	mid	ipc	0	0.31389	0.62778	1.99998	0.244	0.122
KLF3	gw19	pfc	pfc	mid	ipc	0	0.29424	0.59418	2.0194	0.208	0.103
KLF3	gw19	parietal	msp	mid	ipc	0	0.30477	0.63941	2.09802	0.214	0.102
KLF6	gw19	motor	msp	mid	rg	0	0.26451	0.28595	1.08104	0.827	0.765
KLF6	gw19	temporal	temporal	mid	rg	0	0.34928	0.41195	1.17942	0.894	0.758
KLF7	gw19	temporal	temporal	mid	neuron	0	0.26863	0.35662	1.32753	0.381	0.287
KLHDC2	gw19	parietal	msp	mid	ipc	0	0.66641	1.98213	2.97436	0.348	0.117
KLHDC2	gw19	pfc	pfc	mid	ipc	0	0.55295	1.47606	2.66942	0.323	0.121
KLHDC2	gw19	parietal	msp	mid	neuron	0	0.40832	0.66692	1.63333	0.392	0.24
KLHDC2	gw19	pfc	pfc	mid	neuron	0	0.52044	1.41966	2.72781	0.461	0.169
KLHDC2	gw19	parietal	msp	mid	rg	0	0.61457	1.92753	3.13636	0.552	0.176
KLHDC2	gw19	pfc	pfc	mid	rg	0	0.45833	1.2665	2.76329	0.572	0.207
KLHDC3	gw19	temporal	temporal	mid	neuron	0	0.25612	0.28567	1.11538	0.435	0.39
KLHL23	gw19	v1	v1	mid	ipc	0	0.2776	0.4496	1.61957	0.298	0.184
KLHL23	gw19	v1	v1	mid	neuron	0	0.37412	0.63706	1.70281	0.424	0.249
KLHL23	gw19	somatosensory	msp	mid	rg	4e-5	0.39574	0.4813	1.21622	0.27	0.222
KLHL32	gw19	v1	v1	mid	neuron	0	0.32874	1.80305	5.48468	0.181	0.033
KLHL35	gw19	somatosensory	msp	mid	neuron	1.4e-4	1.41468	11.31742	8	0.8	0.1
KLHL35	gw19	somatosensory	msp	mid	rg	0	0.32916	3.01289	9.15314	0.119	0.013
KLHL35	gw19	parietal	msp	mid	ipc	0	0.25172	0.46004	1.82757	0.212	0.116
KMT2C	gw19	temporal	temporal	mid	rg	0	0.31491	0.54551	1.73225	0.537	0.31
KPNA2	gw19	temporal	temporal	mid	neuron	0	0.2816	0.32171	1.14245	0.401	0.351
KPNA2	gw19	temporal	temporal	mid	rg	0	0.27125	0.51059	1.88235	0.448	0.238
KPNA3	gw19	temporal	temporal	mid	rg	0	0.29871	0.54781	1.83392	0.519	0.283
KRAS	gw19	pfc	pfc	mid	neuron	0	0.39641	0.78417	1.97817	0.453	0.229
KRAS	gw19	parietal	msp	mid	rg	0	0.28244	0.54912	1.94419	0.418	0.215
KRAS	gw19	pfc	pfc	mid	rg	9e-5	0.26266	0.54367	2.06987	0.474	0.229
KRT10	gw19	pfc	pfc	mid	neuron	0	0.534	2.4386	4.56667	0.274	0.06
KRT10	gw19	pfc	pfc	mid	ipc	0	0.28611	1.0371	3.62489	0.116	0.032
KRT10	gw19	somatosensory	msp	mid	rg	0	0.51223	1.36592	2.66664	0.24	0.09
KRT10	gw19	parietal	msp	mid	ipc	0	0.27795	1.09383	3.93536	0.122	0.031
KRT31	gw19	motor	msp	mid	neuron	0	0.51004	1.39316	2.73148	0.295	0.108
KRT31	gw19	pfc	pfc	mid	neuron	0	0.47127	1.49629	3.175	0.254	0.08
KRTCAP2	gw19	v1	v1	mid	ipc	0	0.28221	0.472	1.67251	0.286	0.171
KRTCAP2	gw19	v1	v1	mid	rg	0	0.3041	0.51928	1.7076	0.584	0.342
KTN1	gw19	pfc	pfc	mid	rg	0	0.32908	0.5231	1.58957	0.701	0.441
LAGE3	gw19	somatosensory	msp	mid	rg	0	0.39963	0.7831	1.95958	0.194	0.099
LAMP1	gw19	somatosensory	msp	mid	rg	0	0.29939	0.42463	1.41835	0.139	0.098
LAMP5	gw19	motor	msp	mid	rg	0	0.59286	1.3712	2.31285	0.414	0.179
LAMP5	gw19	pfc	pfc	mid	rg	0	0.55862	1.59835	2.86124	0.598	0.209
LAMTOR1	gw19	motor	msp	mid	rg	0	0.26263	0.32856	1.25102	0.613	0.49
LAMTOR4	gw19	pfc	pfc	mid	neuron	0	0.2954	0.49702	1.68254	0.424	0.252
LAMTOR4	gw19	somatosensory	msp	mid	rg	0	0.36803	0.39056	1.06122	0.416	0.392
LAPTM4A	gw19	motor	msp	mid	rg	0	0.28264	0.33533	1.18638	0.732	0.617
LAPTM4B	gw19	parietal	msp	mid	rg	0	0.4335	1.06774	2.46309	0.367	0.149
LARP7	gw19	motor	msp	mid	rg	0	0.31105	0.42062	1.35225	0.572	0.423
LBR	gw19	v1	v1	mid	rg	0	0.29339	0.53455	1.82197	0.481	0.264
LDB2	gw19	motor	msp	mid	neuron	0	0.41581	0.69926	1.68168	0.56	0.333
LDB2	gw19	pfc	pfc	mid	neuron	0	0.70813	1.98278	2.8	0.644	0.23
LDHA	gw19	parietal	msp	mid	rg	0	0.29539	0.38123	1.29062	0.826	0.64
LDHA	gw19	temporal	temporal	mid	rg	0	0.40887	0.55055	1.34652	0.851	0.632
LDHB	gw19	motor	msp	mid	rg	0	0.31056	0.33993	1.09458	0.949	0.867
LDHB	gw19	parietal	msp	mid	rg	0	0.26766	0.2987	1.11596	0.972	0.871
LDHB	gw19	temporal	temporal	mid	rg	0	0.28431	0.31667	1.11379	0.969	0.87
LDLR	gw19	motor	msp	mid	rg	6e-5	0.26841	0.33168	1.23575	0.477	0.386
LDLR	gw19	v1	v1	mid	rg	7e-5	0.25894	0.39274	1.51671	0.59	0.389
LDLR	gw19	temporal	temporal	mid	rg	0	0.26518	0.40802	1.53866	0.577	0.375
LEPROT	gw19	temporal	temporal	mid	rg	0	0.31751	0.47173	1.48571	0.624	0.42
LGALS1	gw19	somatosensory	msp	mid	rg	0	0.50266	0.64897	1.29108	0.55	0.426
LGALS1	gw19	v1	v1	mid	rg	5.5e-4	0.42376	0.57684	1.36123	0.618	0.454
LGALS3	gw19	motor	msp	mid	rg	0.00259	0.26811	0.30509	1.13793	0.594	0.522
LGALS3	gw19	parietal	msp	mid	rg	0	0.25182	0.33347	1.32427	0.682	0.515
LGALS3BP	gw19	temporal	temporal	mid	rg	0	0.31687	0.57562	1.81661	0.525	0.289
LHFP	gw19	parietal	msp	mid	neuron	0	0.75204	2.49746	3.3209	0.445	0.134
LHFP	gw19	temporal	temporal	mid	neuron	0	0.77042	2.28748	2.96914	0.481	0.162
LHX2	gw19	parietal	msp	mid	neuron	0	0.44386	0.79778	1.79736	0.408	0.227
LHX2	gw19	somatosensory	msp	mid	rg	0	0.28635	0.27563	0.96258	0.463	0.481
LIMA1	gw19	pfc	pfc	mid	rg	0.00664	0.25008	0.41956	1.67774	0.505	0.301
LIMCH1	gw19	motor	msp	mid	neuron	0	0.28048	0.33609	1.19826	0.828	0.691
LIMCH1	gw19	pfc	pfc	mid	ipc	0	0.27063	0.5162	1.90739	0.206	0.108
LIMCH1	gw19	pfc	pfc	mid	neuron	0	0.34046	0.43208	1.26911	0.83	0.654
LINC00461	gw19	v1	v1	mid	neuron	0	0.28215	0.33606	1.19106	0.879	0.738
LINC00461	gw19	motor	msp	mid	rg	0	0.2845	0.33107	1.16369	0.782	0.672
LINC00493	gw19	v1	v1	mid	ipc	0	0.37929	0.69351	1.82843	0.373	0.204
LINC00493	gw19	v1	v1	mid	neuron	0	0.26328	0.36893	1.40132	0.426	0.304
LINC00493	gw19	v1	v1	mid	rg	6e-5	0.26071	0.44066	1.69024	0.502	0.297
LINC00493	gw19	somatosensory	msp	mid	rg	0	0.27354	0.27617	1.00961	0.315	0.312
LINC00599	gw19	motor	msp	mid	neuron	0	0.26804	0.43571	1.62557	0.356	0.219
LINC00643	gw19	pfc	pfc	mid	neuron	0	0.28332	0.79599	2.80949	0.236	0.084
LINC00657	gw19	temporal	temporal	mid	ipc	1e-5	0.25836	0.33276	1.28795	0.246	0.191
LINC00998	gw19	motor	msp	mid	rg	0	0.3584	0.50935	1.42119	0.55	0.387
LINC01102	gw19	motor	msp	mid	ipc	7e-5	0.30785	0.41317	1.34211	0.255	0.19
LINC01102	gw19	motor	msp	mid	neuron	0	0.30384	0.4077	1.34183	0.632	0.471
LINC01122	gw19	v1	v1	mid	ipc	3.5e-4	0.27871	0.45969	1.64935	0.254	0.154
LINC01473	gw19	pfc	pfc	mid	rg	0	0.31967	0.83848	2.62295	0.32	0.122
LIX1	gw19	temporal	temporal	mid	rg	0	0.28283	0.84448	2.98587	0.212	0.071
LLNLR-245B6.1	gw19	somatosensory	msp	mid	neuron	0.05143	1.31367	8.61422	6.55738	0.8	0.122
LLNLR-245B6.1	gw19	somatosensory	msp	mid	rg	0	0.34314	0.66389	1.93476	0.178	0.092
LMBR1L	gw19	temporal	temporal	mid	ipc	0	0.26133	0.37861	1.44878	0.297	0.205
LMBR1L	gw19	temporal	temporal	mid	neuron	0	0.2617	0.34525	1.31923	0.343	0.26
LMNA	gw19	pfc	pfc	mid	rg	0	0.40759	1.04302	2.55901	0.412	0.161
LMNA	gw19	temporal	temporal	mid	rg	0	0.25891	0.50589	1.95393	0.297	0.152
LMO3	gw19	motor	msp	mid	neuron	0	0.50233	0.93514	1.86162	0.713	0.383
LMO3	gw19	pfc	pfc	mid	neuron	0	0.85028	2.6613	3.12992	0.795	0.254
LMO4	gw19	pfc	pfc	mid	neuron	0	0.46487	0.75942	1.6336	0.807	0.494
LNX1	gw19	motor	msp	mid	neuron	0	0.39484	0.80144	2.02976	0.341	0.168
LNX1	gw19	pfc	pfc	mid	neuron	0	0.30084	0.53804	1.78846	0.279	0.156
LPL	gw19	parietal	msp	mid	neuron	0	0.29184	0.49494	1.69595	0.251	0.148
LRRC1	gw19	temporal	temporal	mid	rg	0	0.26331	0.79801	3.03072	0.197	0.065
LRRC17	gw19	temporal	temporal	mid	rg	0	0.29025	0.53248	1.83453	0.51	0.278
LRRC3B	gw19	pfc	pfc	mid	neuron	0	0.29113	1.24676	4.28252	0.197	0.046
LRRC7	gw19	somatosensory	msp	mid	rg	0	0.27682	1.02816	3.71415	0.104	0.028
LRRCC1	gw19	motor	msp	mid	rg	0.00166	0.30908	0.44862	1.45146	0.299	0.206
LRRTM2	gw19	motor	msp	mid	neuron	0	0.2881	0.4295	1.4908	0.486	0.326
LRRTM3	gw19	temporal	temporal	mid	rg	0	0.39142	0.86463	2.20896	0.444	0.201
LSAMP	gw19	pfc	pfc	mid	neuron	0	0.41325	0.98496	2.38346	0.317	0.133
LSAMP	gw19	temporal	temporal	mid	rg	0	0.29173	0.45974	1.57591	0.602	0.382
LSM1	gw19	motor	msp	mid	rg	0	0.2821	0.39329	1.39416	0.382	0.274
LSM2	gw19	v1	v1	mid	ipc	0	0.25741000000000003	0.41324	1.60541	0.297	0.185
LSM2	gw19	v1	v1	mid	rg	0	0.2693	0.44443	1.65033	0.505	0.306
LSM4	gw19	parietal	msp	mid	neuron	0	0.26708	0.32809	1.22844	0.527	0.429
LSM4	gw19	parietal	msp	mid	rg	0	0.27199	0.42809	1.57393	0.628	0.399
LSM7	gw19	v1	v1	mid	ipc	0	0.29022	0.41961	1.44584	0.574	0.397
LSM7	gw19	v1	v1	mid	neuron	0	0.5594	1.09046	1.94933	0.731	0.375
LSM7	gw19	somatosensory	msp	mid	rg	0	0.41558	0.45381	1.09199	0.641	0.587
LTA4H	gw19	temporal	temporal	mid	rg	0	0.27809	0.54975	1.97688	0.342	0.173
LY6H	gw19	parietal	msp	mid	ipc	0	0.64671	2.13175	3.2963	0.267	0.081
LY6H	gw19	pfc	pfc	mid	ipc	0	0.62612	2.1288	3.4	0.272	0.08
LY6H	gw19	parietal	msp	mid	neuron	0	0.91929	2.63556	2.86695	0.668	0.233
LY6H	gw19	parietal	msp	mid	rg	0	0.46773	1.0441	2.23228	0.567	0.254
LY6H	gw19	pfc	pfc	mid	rg	0	0.29143	0.5808	1.99291	0.562	0.282
LY6H	gw19	somatosensory	msp	mid	rg	0	0.39941	0.47529	1.18996	0.332	0.279
LYRM5	gw19	motor	msp	mid	rg	1.5e-4	0.25991	0.35653	1.37175	0.369	0.269
MACROD1	gw19	parietal	msp	mid	neuron	0	0.28277	3.89556	13.77625	0.124	0.009
MAD2L2	gw19	parietal	msp	mid	ipc	0	0.381	0.69097	1.81356	0.321	0.177
MAD2L2	gw19	parietal	msp	mid	neuron	0	0.28695	0.3859	1.34483	0.351	0.261
MAF1	gw19	parietal	msp	mid	ipc	0	0.77892	3.57106	4.58462	0.298	0.065
MAF1	gw19	parietal	msp	mid	neuron	0	0.68036	1.94029	2.85185	0.385	0.135
MAF1	gw19	parietal	msp	mid	rg	0	0.60308	2.07726	3.44444	0.465	0.135
MAF1	gw19	pfc	pfc	mid	rg	0	0.25416	0.6118	2.40719	0.402	0.167
MAF1	gw19	pfc	pfc	mid	ipc	0	0.25987	0.63523	2.44441	0.198	0.081
MAGED1	gw19	temporal	temporal	mid	rg	0	0.3482	0.54525	1.56594	0.653	0.417
MAGED2	gw19	parietal	msp	mid	rg	1e-4	0.25095	0.29671	1.18234	0.817	0.691
MAGED2	gw19	temporal	temporal	mid	rg	0	0.432	0.57003	1.31952	0.892	0.676
MAGEF1	gw19	temporal	temporal	mid	ipc	2.5e-4	0.26065	0.33158	1.27213	0.388	0.305
MAGI1	gw19	motor	msp	mid	rg	0.00136	0.28348	0.39901	1.40756	0.335	0.238
MAGOH	gw19	pfc	pfc	mid	rg	1.6e-4	0.25125	0.47966	1.90909	0.567	0.297
MAGOH	gw19	v1	v1	mid	rg	0	0.35121	0.65053	1.85223	0.539	0.291
MAP1B	gw19	motor	msp	mid	rg	0	0.26613	0.26694	1.00304	0.989	0.986
MAP1B	gw19	temporal	temporal	mid	rg	0	0.30567	0.31002	1.01423	0.998	0.984
MAP1LC3A	gw19	parietal	msp	mid	ipc	0	0.62933	2.00508	3.18605	0.274	0.086
MAP1LC3A	gw19	parietal	msp	mid	neuron	0	0.4022	0.58199	1.44703	0.56	0.387
MAP1LC3A	gw19	pfc	pfc	mid	neuron	0	0.44526	0.84753	1.90343	0.611	0.321
MAP1LC3A	gw19	parietal	msp	mid	rg	0	0.25185	0.51143	2.03067	0.331	0.163
MAP1LC3A	gw19	somatosensory	msp	mid	rg	0	0.52712	0.87044	1.65132	0.251	0.152
MAP1LC3A	gw19	pfc	pfc	mid	ipc	0	0.32975	0.77057	2.33682	0.222	0.095
MAP1LC3B	gw19	parietal	msp	mid	ipc	0	0.33156	0.56167	1.69399	0.31	0.183
MAP1LC3B	gw19	pfc	pfc	mid	ipc	0	0.27686	0.43998	1.58919	0.294	0.185
MAP1LC3B	gw19	parietal	msp	mid	rg	0	0.25807	0.42745	1.65635	0.535	0.323
MAP1LC3B	gw19	pfc	pfc	mid	rg	8e-5	0.27734	0.51918	1.87202	0.629	0.336
MAP1LC3B	gw19	temporal	temporal	mid	rg	0	0.28904	0.51917	1.79618	0.564	0.314
MAP2K2	gw19	somatosensory	msp	mid	rg	0	0.33007	1.11592	3.38087	0.142	0.042
MAP4K5	gw19	pfc	pfc	mid	neuron	0	0.25102	0.42575	1.69608	0.346	0.204
MAP6	gw19	somatosensory	msp	mid	rg	0	0.28426	0.47647	1.67617	0.176	0.105
MAP7D1	gw19	somatosensory	msp	mid	rg	0	0.27106	0.47858	1.7656	0.113	0.064
MAP9	gw19	v1	v1	mid	rg	4e-5	0.26651	0.47526	1.78325	0.362	0.203
MAPK10	gw19	temporal	temporal	mid	rg	0	0.30365	0.58424	1.92405	0.456	0.237
MAPK1IP1L	gw19	temporal	temporal	mid	rg	0	0.2804	0.45484	1.62209	0.558	0.344
MAPRE1	gw19	temporal	temporal	mid	neuron	2.1e-4	0.27828	0.3806	1.36771	0.305	0.223
MAPRE1	gw19	temporal	temporal	mid	rg	0	0.26707	0.53034	1.98578	0.419	0.211
MAPRE2	gw19	motor	msp	mid	neuron	0	0.28811	0.42625999999999997	1.4795	0.469	0.317
MAPRE2	gw19	temporal	temporal	mid	rg	0	0.27645	0.53084	1.92019	0.409	0.213
MAPT	gw19	somatosensory	msp	mid	rg	1.1e-4	0.31368	0.32363	1.03175	0.39	0.378
MAPT	gw19	motor	msp	mid	rg	2.9e-4	0.27665	0.37122	1.3418	0.475	0.354
MARCH7	gw19	motor	msp	mid	rg	1.3e-4	0.27146	0.35051	1.29118	0.439	0.34
MARCKS	gw19	pfc	pfc	mid	neuron	0	0.39608	0.62045	1.56646	0.766	0.489
MARCKS	gw19	somatosensory	msp	mid	rg	0	0.43977	0.47792	1.08676	0.714	0.657
MARCKSL1	gw19	parietal	msp	mid	ipc	0	0.91495	1.63384	1.78571	1	0.56
MARCKSL1	gw19	pfc	pfc	mid	ipc	0	0.78538	1.40357	1.78712	0.999	0.559
MARCKSL1	gw19	parietal	msp	mid	neuron	0	0.60963	0.77364	1.26904	1	0.788
MARCKSL1	gw19	pfc	pfc	mid	neuron	0	0.57508	0.77741	1.35183	0.999	0.739
MARCKSL1	gw19	parietal	msp	mid	rg	0	0.53666	0.77329	1.44092	1	0.694
MARCKSL1	gw19	pfc	pfc	mid	rg	0.00997	0.29514	0.40525	1.37309	0.99	0.721
MARCKSL1	gw19	somatosensory	msp	mid	rg	0	0.7339	1.14427	1.55916	0.962	0.617
MASP1	gw19	motor	msp	mid	neuron	0	0.25755	0.40355	1.56684	0.293	0.187
MASP1	gw19	parietal	msp	mid	neuron	0	0.28114	0.39951	1.42105	0.27	0.19
MASP1	gw19	temporal	temporal	mid	neuron	0	0.38902	0.69818	1.79474	0.341	0.19
MAT2B	gw19	temporal	temporal	mid	rg	0	0.29596	0.6679	2.25676	0.334	0.148
MCL1	gw19	temporal	temporal	mid	rg	0	0.25829	0.41542	1.6083	0.542	0.337
MCUR1	gw19	parietal	msp	mid	neuron	0	0.60055	1.12361	1.87097	0.522	0.279
MCUR1	gw19	somatosensory	msp	mid	rg	0	0.32766	0.66284	2.02297	0.176	0.087
MDFI	gw19	parietal	msp	mid	rg	0	0.49028	1.26186	2.57377	0.471	0.183
MDFI	gw19	parietal	msp	mid	ipc	0	0.2997	1.36658	4.55982	0.114	0.025
ME3	gw19	pfc	pfc	mid	neuron	0	0.29664	1.22077	4.11531	0.214	0.052
MEAF6	gw19	temporal	temporal	mid	rg	0	0.27637	0.45459	1.64488	0.579	0.352
MED30	gw19	motor	msp	mid	rg	1.3e-4	0.28707	0.40265	1.4026	0.324	0.231
MEF2C	gw19	somatosensory	msp	mid	rg	0	0.42141	0.94816	2.24997	0.171	0.076
MEF2C	gw19	v1	v1	mid	neuron	0	0.32961	0.34772	1.05494	0.768	0.728
MEF2C	gw19	temporal	temporal	mid	ipc	0	0.27423	0.75086	2.73803	0.115	0.042
MEG3	gw19	temporal	temporal	mid	ipc	0	0.48262	0.92189	1.91018	0.319	0.167
MEG3	gw19	motor	msp	mid	neuron	0	0.27179	0.38261	1.40774	0.618	0.439
MEG3	gw19	pfc	pfc	mid	neuron	0	0.71317	1.59275	2.23333	0.737	0.33
