# From df_markers_by_cell_type_and_indiv.txt.
# Expanded metadata and filtered for excitatory lineage cells (rg, ipc, neuron).
# See `compare_markers_MAST_wilcox.Rmd`
# [2020-11-28]
# 
gene	p_val_adj	avg_logfc	gene.score	gene.ratio	pct.1	pct.2	p_val	stage_area	area	individual	celltype_stage	celltype_region	cell_type	file	stage_region	stage	region
PPDPF	0	0.7826	2.76718	3.53586	0.838	0.237	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
ZNF428	0	0.8318	2.69075	3.23485	0.854	0.264	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
YWHAQ	0	0.84488	1.60871	1.90408	0.933	0.49	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
HMGN1	0	0.7786	1.55238	1.99381	0.967	0.485	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
CST3	0	1.51509	3.84639	2.53871	0.787	0.31	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TBCB	0	0.82478	2.58561	3.13492	0.79	0.252	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TSC22D4	0	0.80482	7.54921	9.38	0.469	0.05	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MDFI	0	0.80178	4.69251	5.8526300000000004	0.556	0.095	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
GCSH	0	0.7657	2.50446	3.27083	0.785	0.24	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
RANBP1	0	0.70847	2.10977	2.97794	0.81	0.272	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
CALM1	0	0.85474000000000006	1.36066	1.59191	0.944	0.593	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
LSM4	0	0.7246	3.14684	4.34286	0.608	0.14	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
GADD45GIP1	0	0.7429	2.22572	2.99598	0.746	0.249	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
NKAIN3	0	0.84659	2.4914	2.94286	0.721	0.245	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
CLTA	0	0.66566	2.24206	3.36818	0.741	0.22	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
ARGLU1	0	0.72792	1.76299	2.42197	0.838	0.346	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
NDUFAB1	0	0.71814	2.57165	3.58101	0.641	0.179	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
C19orf43	0	0.67909	2.09387	3.08333	0.777	0.252	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
SARAF	0	0.72797	1.45429	1.99773	0.879	0.44	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
DNPH1	0	0.65122	3.19213	4.90179	0.549	0.112	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
EIF3F	0	0.72459	1.65821	2.28846	0.833	0.364	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PYURF	0	0.69353	2.27969	3.28708	0.687	0.209	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
SQLE	0	0.82019	1.59471	1.94432	0.838	0.431	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PDCD6	0	0.71723	2.43401	3.39362	0.638	0.188	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
SCAND1	0	0.64108	2.5006	3.90062	0.628	0.161	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TUBB2A	0	0.95012	1.9986	2.10354	0.833	0.396	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
KIF5B	0	0.73283	1.68132	2.29429	0.803	0.35	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
RTN3	0	0.75975	1.23407	1.62431	0.882	0.543	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
ACTB	0	0.50173	0.53385	1.06403	0.997	0.937	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
LSM7	0	0.63579	1.85807	2.92248	0.754	0.258	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PGLS	0	0.68529	2.49495	3.64072	0.608	0.167	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
HNRNPA0	0	0.63676	1.43688	2.25654	0.862	0.382	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
SNRNP70	0	0.67824	2.46441	3.63354	0.585	0.161	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
ITM2B	0	0.62757	1.56517	2.49401	0.833	0.334	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
IDH2	0	0.6881	2.15978	3.13876	0.656	0.209	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
GABARAPL2	0	0.64692	1.1539	1.78367	0.874	0.49	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PGRMC1	0	0.66656	2.34678	3.52071	0.595	0.169	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
SRSF2	0	0.67937	1.69203	2.49057	0.792	0.318	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
BCAN	0	0.73792	1.47232	1.99524	0.838	0.42	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
LY6H	0	0.64979	2.2850799999999998	3.51667	0.633	0.18	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
AURKAIP1	0	0.63197	2.40556	3.80645	0.59	0.155	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PFN1	0	0.66374	1.87782	2.82917	0.679	0.24	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
RAB2A	0	0.69086	1.76581	2.55596	0.708	0.277	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PHF14	0	0.64946	1.87055	2.88017	0.697	0.242	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
FEZ2	0	0.63174	2.27192	3.59627	0.579	0.161	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
RABAC1	0	0.65641	1.63066	2.48421	0.708	0.285	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
UQCRFS1	0	0.64695	2.07227	3.20312	0.615	0.192	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
COX5A	0	0.66551	1.9151	2.87764	0.682	0.237	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PARP1	0	0.65925	1.26294	1.91572	0.841	0.439	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
RDX	0	0.62829	1.2014	1.91216	0.849	0.444	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PAK2	0	0.61712	1.59461	2.58394	0.708	0.274	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
RHEB	0	0.60055	1.34007	2.2314	0.81	0.363	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MRPS26	0	0.60219	2.39452	3.97638	0.505	0.127	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MRPS34	0	0.61291	2.12986	3.475	0.556	0.16	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
UBE2D2	0	0.61182	1.62916	2.66284	0.695	0.261	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TUFM	0	0.58257	1.57731	2.70751	0.685	0.253	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
C19orf60	0	0.60363	2.31616	3.83704	0.518	0.135	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MZT2B	0	0.56744000000000006	1.84111	3.24457	0.597	0.184	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
ARPC2	0	0.63539	1.43686	2.2614	0.744	0.329	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PSMD8	0	0.6497	1.59757	2.45896	0.659	0.268	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
NDUFB10	0	0.60987	1.6123	2.64368	0.69	0.261	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
EIF5	0	0.6465	1.2979	2.00758	0.795	0.396	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
NFIX	0	0.62185	1.90504	3.06349	0.579	0.189	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
JTB	0	0.5612	1.81829	3.24	0.567	0.175	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
RPS19BP1	0	0.55999	1.93217	3.45033	0.521	0.151	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
SERPINE2	0	0.51033	3.48048	6.82	0.341	0.05	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
NDFIP1	0	0.54929	1.2138	2.20977	0.769	0.348	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MRPL41	0	0.52995	2.11546	3.9918	0.487	0.122	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
CALR	0	0.62284	1.37968	2.21515	0.731	0.33	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
GUK1	0	0.54573	1.5816	2.89815	0.626	0.216	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
EPB41L4A-AS1	0	0.53714	1.90004	3.53731	0.474	0.134	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
RALA	0	0.54065	1.86601	3.45139	0.497	0.144	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TMEM147	0	0.50951	1.53888	3.0203	0.595	0.197	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
ARL6IP4	0	0.51162	1.75657	3.43333	0.515	0.15	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
C7orf50	0	0.53989	1.60843	2.97917	0.572	0.192	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
EIF1AX	0	0.59715	1.21872	2.04087	0.749	0.367	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PDIA3	0	0.60306	1.40033	2.32203	0.685	0.295	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MYDGF	0	0.5065	1.81054	3.57463	0.479	0.134	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MANF	0	0.59048	2.33434	3.95327	0.423	0.107	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
GPX1	0	0.53998	1.51038	2.7971	0.579	0.207	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
ALDH2	0	0.49355	2.03113	4.11538	0.428	0.104	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
GPX3	0	0.70208	1.34491	1.9156	0.749	0.391	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PGAM1	0	0.55153	1.19898	2.17391	0.7	0.322	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
FAM3C	0	0.55882	1.69857	3.03955	0.538	0.177	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
AKIRIN2	0	0.44699	2.19919	4.92	0.369	0.075	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
RRAGA	0	0.51519	1.48247	2.87755	0.564	0.196	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MVD	0	0.56986	1.82058	3.19481	0.492	0.154	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
HEY1	0	0.55019	2.03391	3.69672	0.451	0.122	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TP53RK	0	0.47399	1.849	3.9009	0.433	0.111	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
DEK	0	0.59996	1.14161	1.90281	0.744	0.391	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
BTG3	0	0.54014	1.37314	2.54217	0.633	0.249	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
KIF1A	0	0.59224	1.20706	2.03812	0.695	0.341	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
NOL7	0	0.51064	1.56755	3.06977	0.528	0.172	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TSPO	0	0.50119	1.52877	3.05028	0.546	0.179	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PPA1	0	0.53304	0.76625	1.4375	0.897	0.624	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TSEN34	0	0.48113	1.61476	3.35616	0.49	0.146	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TSPAN3	0	0.57646	1.21315	2.10448	0.705	0.335	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
HLA-C	0	0.59386	2.23632	3.76577	0.418	0.111	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
RNH1	0	0.49948	1.69608	3.39568	0.472	0.139	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
SMARCB1	0	0.48011	1.50491	3.1345	0.536	0.171	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TCF4	0	0.5342	0.7406	1.38636	0.915	0.66	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MALSU1	0	0.44486	2.29734	5.16418	0.346	0.067	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
H2AFY2	0	0.46599	1.80465	3.87273	0.426	0.11	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
FKBP8	0	0.56011	1.38421	2.47131	0.603	0.244	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
H2AFY	0	0.54747	1.14456	2.09064	0.715	0.342	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
CD99	0	0.48154	1.04454	2.16914	0.731	0.337	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
FEZ1	0	0.51875	1.04847	2.02116	0.764	0.378	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
ISCU	0	0.49765	1.80502	3.62712	0.428	0.118	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
JUNB	0	0.81931	2.41821	2.95152	0.487	0.165	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
DCXR	0	0.52432	1.83921	3.50781	0.449	0.128	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
VGLL4	0	0.50888	1.36657	2.68545	0.572	0.213	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MAP1LC3B	0	0.45907	1.32105	2.87766	0.541	0.188	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
EMC6	0	0.43542	1.41861	3.25806	0.505	0.155	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
TM7SF2	0	0.46369	2.02933	4.37647	0.372	0.085	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
OLFM2	0	0.49522	1.38661	2.8	0.518	0.185	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PAXIP1-AS1	0	0.48994	2.45713	5.01515	0.331	0.066	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
EIF3J	0	0.46021	1.38335	3.00592	0.508	0.169	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PPP4C	0	0.47188	1.35761	2.87701	0.538	0.187	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
YWHAB	0	0.53611	0.91658	1.70968	0.795	0.465	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MPLKIP	0	0.441	1.38026	3.12987	0.482	0.154	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
ATXN10	0	0.49279	1.23626	2.5087	0.577	0.23	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MFSD10	0	0.45127	1.7525	3.8835	0.4	0.103	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
FKBP1A	0	0.45334	1.20091	2.64904	0.551	0.208	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
DBN1	0	0.45709	1.29425	2.83152	0.521	0.184	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
GLTSCR2	0	0.35	0.96023	2.74348	0.631	0.23	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
ITM2C	0	0.65931	1.60707	2.4375	0.546	0.224	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
KLF6	0	0.5565	0.93097	1.67292	0.803	0.48	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
FAM171B	0	0.57684	1.36471	2.36585	0.582	0.246	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
DCUN1D5	0	0.4509	1.73598	3.85	0.385	0.1	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
IER2	0	0.4377	0.9203	2.10256	0.738	0.351	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
PIN1	0	0.48933	1.52832	3.12329	0.456	0.146	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
SFRP2	0	0.49818	1.45033	2.91124	0.492	0.169	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
NME3	0	0.44808	1.87471	4.18391	0.364	0.087	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
NDUFS3	0	0.49074	1.41414	2.88166	0.487	0.169	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
NCOR1	0	0.49979	0.99234	1.98551	0.685	0.345	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
GPX4	0	0.52296	0.91762	1.75467	0.751	0.428	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
MRPL12	0	0.42082	1.83914	4.37037	0.354	0.081	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
GFAP	0	0.65912	1.38142	2.09585	0.656	0.313	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
SCCPDH	0	0.46831	1.47697	3.15385	0.451	0.143	0	mid_v1	v1	gw18	rg_mid	rg_v1	rg	gw18_neocortex_rg_byarea_clustermarkers.txt	mid_v1	mid	v1
